Artist,Title,Year,Description
"Gary Moore","Over the Hills and Far Away",1986,"Blues-rock epic with soaring guitar and Celtic influences."
"Boston","More Than a Feeling",1976,"Classic rock ballad with lush harmonies and iconic guitar."
"Ram Jam","Black Betty",1977,"Hard rock cover of a traditional song with infectious energy."
"Queen","We Will Rock You",1977,"Stomping rock anthem with minimalist power and crowd appeal."
"Van Halen","Jump",1984,"Synth-driven hard rock hit with an unforgettable hook."
"Guano Apes","Open Your Eyes",1997,"Nu-metal banger with raw vocals and aggressive energy."
"Nick Cave & The Bad Seeds","Wild God",2024,"Spiritual rock track with gospel influences and emotional depth."
"Sonic Youth","Teenage Riot",1988,"Alternative rock milestone with noisy guitars and pop sensibility."
"Love","Alone Again Or",1967,"Baroque-psych rock gem with lush melodies and mariachi flair."
"Foo Fighters","Everlong",1997,"Driving alternative rock anthem with raw emotion and dynamic shifts."
"Red Hot Chili Peppers","Californication",1999,"Mellow alt-rock hit with introspective lyrics and melodic guitar."
"Oasis","Wonderwall",1995,"Britpop classic with acoustic strums and heartfelt vocals."
"Pearl Jam","Alive",1991,"Grunge epic with soaring guitars and themes of resilience."
"Guns N' Roses","Sweet Child O' Mine",1987,"Hard rock ballad with iconic guitar riff and emotional vocals."
"Aerosmith","Dream On",1973,"Power ballad with soaring vocals and dramatic crescendos."
"The Eagles","Hotel California",1976,"Mystical rock epic with haunting lyrics and iconic guitar solo."
"Metallica","Enter Sandman",1991,"Heavy metal banger with menacing riffs and dark imagery."
"Green Day","Basket Case",1994,"Punk rock anthem with frantic energy and anxious lyrics."
"The Clash","London Calling",1979,"Punk rock classic with reggae influences and political bite."
"Rage Against the Machine","Killing in the Name",1992,"Rap-metal protest song with explosive riffs and raw anger."
"Radiohead","Creep",1993,"Grunge-alt hit with self-deprecating lyrics and dynamic shifts."
"The Doors","Light My Fire",1967,"Psychedelic rock classic with organ-driven groove and poetic lyrics."
"Deep Purple","Smoke on the Water",1972,"Hard rock staple with one of the most iconic riffs in history."
"Black Sabbath","Paranoid",1970,"Heavy metal pioneer with relentless pace and dark tone."
"Creedence Clearwater Revival","Fortunate Son",1969,"Vietnam-era rock protest song with gritty energy."
"Fleetwood Mac","Go Your Own Way",1977,"Classic rock breakup song with driving rhythm and raw emotion."
"U2","With or Without You",1987,"Atmospheric rock ballad with shimmering guitars and emotional depth."
"R.E.M.","Losing My Religion",1991,"Alternative rock hit with mandolin riffs and introspective lyrics."
"The Killers","Mr. Brightside",2004,"Indie rock anthem with infectious energy and jealous heartache."
"Arctic Monkeys","Do I Wanna Know?",2013,"Sultry alt-rock track with heavy riffs and brooding vocals."
"Soundgarden","Black Hole Sun",1994,"Grunge masterpiece with surreal lyrics and haunting melody."
"Alice in Chains","Man in the Box",1990,"Grunge-metal hit with gritty vocals and heavy riffs."
"Bon Jovi","Livin' on a Prayer",1986,"Arena rock anthem with soaring vocals and triumphant energy."
"The White Stripes","Seven Nation Army",2003,"Garage rock classic with iconic bass-like guitar riff."
"Coldplay","Viva La Vida",2008,"Orchestral alt-rock hit with sweeping melodies and regal themes."
"The Kinks","You Really Got Me",1964,"Proto-punk rock track with raw energy and distorted riffs."
"ZZ Top","La Grange",1973,"Blues-rock boogie with gritty vocals and driving rhythm."
"Led Zeppelin","Whole Lotta Love",1969,"Hard rock classic with psychedelic riffs and raw energy."
"Pink Floyd","Wish You Were Here",1975,"Melancholic prog-rock ballad with acoustic beauty and emotional weight."
"The Police","Every Breath You Take",1983,"Soft rock classic with stalking undertones and hypnotic guitar."
"Def Leppard","Pour Some Sugar on Me",1987,"Glam-metal party anthem with infectious hooks and energy."
"Metallica","Master of Puppets",1986,"Thrash metal epic with complex riffs and dark themes."
"Nirvana","Come As You Are",1991,"Grunge anthem with moody riffs and introspective lyrics."
"AC/DC","Back in Black",1980,"Hard rock classic with thunderous riffs and swagger."
"Tom Petty","Free Fallin'",1989,"Heartland rock ballad with jangly guitars and wistful lyrics."
"The Beatles","Come Together",1969,"Funky rock track with cryptic lyrics and slinky bassline."
"David Bowie","Heroes",1977,"Inspirational art-rock anthem with soaring vocals and emotion."
"Aerosmith","Sweet Emotion",1975,"Funky hard rock track with iconic bassline and swagger."
"The Allman Brothers Band","Ramblin' Man",1973,"Southern rock classic with upbeat tempo and twangy guitars."
"Stone Temple Pilots","Plush",1992,"Grunge hit with soulful vocals and heavy guitar riffs."
"Smashing Pumpkins","1979",1995,"Dreamy alt-rock track with nostalgic vibes and electronic beats."
"Kings of Leon","Use Somebody",2008,"Arena rock ballad with soaring vocals and heartfelt lyrics."
"The Cure","Just Like Heaven",1987,"Jangly alt-rock love song with dreamy melodies and emotion."
"Imagine Dragons","Radioactive",2012,"Anthemic alt-rock hit with electronic edge and booming drums."
"Linkin Park","Crawling",2000,"Nu-metal classic with raw emotion and heavy electronic beats."
"Foo Fighters","Learn to Fly",1999,"Uplifting alt-rock hit with driving guitars and catchy hooks."
"Red Hot Chili Peppers","Under the Bridge",1991,"Melancholic alt-rock ballad with introspective lyrics and funk."
"Pearl Jam","Jeremy",1991,"Grunge storytelling epic with intense vocals and heavy riffs."
"Guns N' Roses","Welcome to the Jungle",1987,"Hard rock banger with raw energy and urban grit."
"Oasis","Champagne Supernova",1995,"Epic Britpop closer with dreamy lyrics and soaring guitars."
"Green Day","American Idiot",2004,"Punk rock protest anthem with biting lyrics and energy."
"The Rolling Stones","Brown Sugar",1971,"Raucous rock track with controversial lyrics and infectious groove."
"The Who","Won't Get Fooled Again",1971,"Synth-driven rock epic with rebellious energy and iconic scream."
"Metallica","Nothing Else Matters",1991,"Heavy metal ballad with orchestral depth and emotional lyrics."
"Radiohead","Paranoid Android",1997,"Prog-alt rock epic with shifting dynamics and surreal lyrics."
"The Doors","Break On Through",1967,"Psychedelic rock banger with driving rhythm and raw energy."
"Deep Purple","Highway Star",1972,"Hard rock classic with blistering guitar and organ solos."
"Black Sabbath","Iron Man",1970,"Heavy metal staple with iconic riff and sci-fi lyrics."
"Creedence Clearwater Revival","Bad Moon Rising",1969,"Swamp rock hit with ominous lyrics and upbeat tempo."
"Fleetwood Mac","Dreams",1977,"Soft rock classic with ethereal vocals and smooth rhythm."
"U2","Sunday Bloody Sunday",1983,"Politically charged rock anthem with driving drums and passion."
"R.E.M.","It's the End of the World",1987,"Quirky alt-rock hit with rapid-fire lyrics and jangly guitars."
"The Killers","Somebody Told Me",2004,"Dance-rock hit with new wave vibes and catchy hooks."
"Arctic Monkeys","I Bet You Look Good on the Dancefloor",2005,"High-energy indie rock with sharp lyrics and punky riffs."
"Soundgarden","Spoonman",1994,"Grunge-metal track with quirky rhythms and heavy riffs."
"Alice in Chains","Rooster",1992,"Grunge ballad with haunting vocals and war-inspired lyrics."
"Bon Jovi","You Give Love a Bad Name",1986,"Glam-rock anthem with catchy hooks and heartbreak lyrics."
"The White Stripes","Fell in Love with a Girl",2001,"Garage rock banger with raw energy and punky riffs."
"Coldplay","Yellow",2000,"Heartfelt alt-rock ballad with dreamy guitars and emotional vocals."
"The Kinks","Lola",1970,"Classic rock tale with witty lyrics and catchy melody."
"ZZ Top","Gimme All Your Lovin'",1983,"Blues-rock hit with slick guitars and driving beat."
"Led Zeppelin","Immigrant Song",1970,"Viking-inspired hard rock with howling vocals and riffs."
"Pink Floyd","Another Brick in the Wall, Pt. 2",1979,"Prog-rock protest anthem with iconic riff and choir."
"The Police","Roxanne",1978,"New wave rock hit with reggae influences and passionate vocals."
"Def Leppard","Hysteria",1987,"Polished glam-metal ballad with lush production and hooks."
"Nickelback","How You Remind Me",2001,"Post-grunge hit with emotional lyrics and heavy guitars."
"Evanescence","Bring Me to Life",2003,"Nu-metal ballad with gothic vibes and soaring vocals."
"System of a Down","Chop Suey!",2001,"Nu-metal anthem with chaotic energy and political themes."
"Muse","Hysteria",2003,"Alt-rock banger with driving bassline and dramatic vocals."
"The Black Keys","Lonely Boy",2011,"Garage-blues rock hit with raw energy and catchy riff."
"Queens of the Stone Age","No One Knows",2002,"Stoner rock classic with hypnotic riff and raw power."
"Blink-182","All the Small Things",1999,"Pop-punk anthem with playful lyrics and catchy hooks."
"My Chemical Romance","Welcome to the Black Parade",2006,"Emo-rock epic with theatrical flair and soaring melodies."
"Paramore","Misery Business",2007,"Pop-punk banger with fierce vocals and angsty lyrics."
"The Offspring","Self Esteem",1994,"Punk rock classic with relatable lyrics and driving energy."
"Disturbed","Down with the Sickness",2000,"Nu-metal anthem with primal vocals and heavy riffs."
"Tool","Forty Six & 2",1996,"Prog-metal masterpiece with complex rhythms and introspection."
"Slipknot","Snuff",2008,"Melancholic nu-metal ballad with raw emotion and heavy guitars."
"Godsmack","I Stand Alone",2002,"Hard rock hit with tribal drums and aggressive vocals."
"Seether","Broken",2004,"Post-grunge ballad with emotional vocals and acoustic tones."
"Shinedown","Black Cadillac",2022,"Modern rock hit with soulful vocals and heavy riffs."
"Greta Van Fleet","Highway Tune",2017,"Classic rock revival with Zeppelin-esque riffs and vocals."
"The Pretty Reckless","Take Me Down",2016,"Hard rock anthem with gritty vocals and bluesy edge."
"Halestorm","I Miss the Misery",2012,"Hard rock banger with fierce vocals and driving guitars."
"Falling in Reverse","Popular Monster",2019,"Post-hardcore hit with dramatic shifts and intense vocals."
"Bring Me the Horizon","Throne",2015,"Modern metalcore anthem with electronic edge and aggression."
"Papa Roach","Last Resort",2000,"Nu-metal classic with raw emotion and iconic riffs."
"Three Days Grace","Animal I Have Become",2006,"Post-grunge hit with intense vocals and heavy guitars."
"Breaking Benjamin","The Diary of Jane",2006,"Post-grunge anthem with melodic hooks and driving riffs."
"Avenged Sevenfold","Hail to the King",2013,"Heavy metal epic with classic riffs and commanding vocals."
"Skillet","Monster",2009,"Christian rock banger with electronic edge and raw energy."
"Five Finger Death Punch","Wrong Side of Heaven",2013,"Heavy metal ballad with emotional lyrics and powerful riffs."
"Alter Bridge","Metalingus",2004,"Hard rock anthem with soaring vocals and intricate guitars."
"Chevelle","The Red",2002,"Alt-metal hit with heavy riffs and introspective lyrics."
"A Day to Remember","If It Means a Lot to You",2009,"Pop-punk ballad with emotional depth and acoustic tones."
"Incubus","Drive",1999,"Alt-rock hit with mellow vibes and introspective lyrics."
"Live","Lightning Crashes",1994,"Alt-rock ballad with spiritual themes and soaring vocals."
"Faith No More","Epic",1989,"Funk-metal hit with rap verses and iconic piano outro."
"Jane's Addiction","Been Caught Stealing",1990,"Alt-rock classic with funky grooves and quirky energy."
"Deftones","Change (In the House of Flies)",2000,"Nu-metal ballad with dreamy guitars and haunting vocals."
"Cage the Elephant","Ain't No Rest for the Wicked",2008,"Bluesy alt-rock hit with gritty vocals and catchy groove."
"Temple of the Dog","Hunger Strike",1991,"Grunge supergroup ballad with soulful vocals and emotion."
"Velvet Revolver","Slither",2004,"Hard rock banger with gritty riffs and swaggering vocals."
"Audioslave","Like a Stone",2002,"Alt-rock ballad with soulful vocals and melodic guitars."
"Jet","Are You Gonna Be My Girl",2003,"Garage rock hit with retro vibes and infectious energy."
"The Verve","Bitter Sweet Symphony",1997,"Britpop anthem with orchestral strings and reflective lyrics."
"Counting Crows","Mr. Jones",1993,"Alt-rock classic with jangly guitars and storytelling lyrics."
"Bush","Glycerine",1994,"Grunge ballad with raw vocals and minimalist guitar."
"Silverchair","Tomorrow",1994,"Grunge hit with heavy riffs and angsty Australian vibe."
"The Cranberries","Zombie",1994,"Alt-rock protest song with haunting vocals and heavy guitars."
"Blind Melon","No Rain",1992,"Alt-rock hit with sunny melodies and melancholic lyrics."
"Soul Asylum","Runaway Train",1992,"Alt-rock ballad with heartfelt lyrics and acoustic tones."
"Goo Goo Dolls","Iris",1998,"Alt-rock ballad with emotional depth and orchestral strings."
"Matchbox Twenty","3AM",1996,"Alt-rock hit with introspective lyrics and jangly guitars."
"Everclear","Santa Monica",1995,"Post-grunge anthem with sunny vibes and raw energy."
"Collective Soul","Shine",1993,"Alt-rock hit with spiritual themes and driving guitars."
"The Wallflowers","One Headlight",1996,"Roots-rock hit with poetic lyrics and mellow grooves."
"Lenny Kravitz","Are You Gonna Go My Way",1993,"Funky rock banger with blistering guitar riffs."
"Spin Doctors","Two Princes",1991,"Funky alt-rock hit with catchy hooks and upbeat energy."
"Violent Femmes","Blister in the Sun",1983,"Quirky alt-rock classic with raw energy and acoustic punk."
"The Black Crowes","Hard to Handle",1990,"Southern rock revival with soulful vocals and funky riffs."
"Tonic","If You Could Only See",1996,"Alt-rock ballad with heartfelt lyrics and melodic guitars."
"Live","I Alone",1994,"Alt-rock anthem with intense vocals and heavy guitars."
"Porno for Pyros","Pets",1993,"Alt-rock gem with quirky lyrics and psychedelic vibes."
"Screaming Trees","Nearly Lost You",1992,"Grunge hit with soulful vocals and fuzzy guitars."
"Toadies","Possum Kingdom",1994,"Alt-rock hit with dark lyrics and driving guitars."
"Beck","Loser",1993,"Slacker alt-rock anthem with quirky lyrics and lo-fi vibe."
"The Breeders","Cannonball",1993,"Alt-rock hit with quirky hooks and distorted guitars."
"Cake","The Distance",1996,"Alt-rock hit with witty lyrics and funky guitar riffs."
"Marilyn Manson","The Beautiful People",1996,"Industrial rock anthem with provocative lyrics and heavy riffs."
"Rammstein","Du Hast",1997,"Industrial metal banger with provocative lyrics and driving beat."
"Korn","Freak on a Leash",1998,"Nu-metal classic with chaotic energy and experimental sounds."
"Limp Bizkit","Break Stuff",1999,"Nu-metal anthem with aggressive vocals and heavy riffs."
"Staind","It's Been Awhile",2001,"Post-grunge ballad with raw emotion and acoustic tones."
"Puddle of Mudd","Blurry",2001,"Post-grunge hit with emotional lyrics and heavy guitars."
"Hoobastank","The Reason",2003,"Emo-rock ballad with heartfelt lyrics and soaring vocals."
"Saliva","Click Click Boom",2001,"Nu-metal anthem with aggressive energy and catchy hooks."
"Drowning Pool","Bodies",2001,"Nu-metal banger with intense vocals and heavy riffs."
"Alien Ant Farm","Smooth Criminal",2001,"Nu-metal cover of MJ’s classic with high energy and riffs."
"Jimmy Eat World","The Middle",2001,"Pop-punk anthem with uplifting lyrics and catchy hooks."
"Wheatus","Teenage Dirtbag",2000,"Pop-punk hit with relatable lyrics and quirky energy."
"Sum 41","Fat Lip",2001,"Pop-punk banger with rebellious energy and fast riffs."
"Good Charlotte","The Anthem",2002,"Pop-punk classic with youthful rebellion and catchy hooks."
"Yellowcard","Ocean Avenue",2003,"Pop-punk anthem with soaring violins and nostalgic vibes."
"The Used","The Taste of Ink",2002,"Emo-punk hit with raw vocals and driving guitars."
"Taking Back Sunday","Cute Without the 'E'",2002,"Emo-rock classic with angsty lyrics and dual vocals."
"Dashboard Confessional","Hands Down",2002,"Emo-rock ballad with heartfelt lyrics and acoustic vibes."
"Thirty Seconds to Mars","The Kill",2005,"Emo-rock anthem with dramatic vocals and soaring guitars."
"Panic! At The Disco","I Write Sins Not Tragedies",2005,"Emo-pop hit with theatrical flair and catchy hooks."
"Fall Out Boy","Sugar, We're Goin Down",2005,"Pop-punk anthem with witty lyrics and driving guitars."
"Tool","Schism",2001,"Progressive metal masterpiece with complex rhythms and intricate bass work."
"Rage Against the Machine","Bulls on Parade",1996,"Rap-metal anthem with explosive riffs and political activism."
"The Mars Volta","L'Via L'Viaquez",2005,"Progressive rock odyssey with chaotic energy and Latin influences."
"Royal Blood","Figure It Out",2014,"Modern rock duo with massive sound and bluesy riffs."
