Artist,Title,Year,Description
"Fleetwood Mac","Go Your Own Way",1977,"Rock anthem with Lindsey Buckingham's aggressive guitar and emotional vocals about breakup."
"Tom Petty","Free Fallin'",1989,"Jangly rock with Petty's conversational vocals and Mike Campbell's atmospheric guitar work."
"Bruce Springsteen","Born to Run",1975,"Epic rock anthem with Clarence Clemons' saxophone and Springsteen's working-class poetry."
"The Doors","Light My Fire",1967,"Psychedelic rock with Ray Manzarek's organ and Jim Morrison's hypnotic vocals."
"The Kinks","You Really Got Me",1964,"Proto-punk with Dave Davies' distorted guitar and Ray Davies' energetic vocals."
"The Yardbirds","For Your Love",1965,"British blues rock featuring innovative guitar work and harmonica arrangements."
"Cream","Sunshine of Your Love",1967,"Blues rock with Eric Clapton's iconic riff and Jack Bruce's powerful vocals."
"Jeff Beck","Beck's Bolero",1966,"Instrumental rock showcase featuring Beck's innovative guitar techniques and orchestral arrangements."
"The Animals","House of the Rising Sun",1964,"Blues rock adaptation with Eric Burdon's soulful vocals and Alan Price's organ."
"The Zombies","Time of the Season",1968,"Psychedelic rock with Colin Blunstone's breathy vocals and Rod Argent's keyboard work."
"The Velvet Underground","Sweet Jane",1970,"Art rock pioneer with Lou Reed's deadpan vocals and Sterling Morrison's guitar work."
"T. Rex","Bang a Gong (Get It On)",1971,"Glam rock with Marc Bolan's distinctive vocals and simple but effective guitar riff."
"David Bowie","Ziggy Stardust",1972,"Glam rock character study with Mick Ronson's guitar and Bowie's theatrical performance."
"The New York Dolls","Personality Crisis",1973,"Proto-punk with androgynous styling and raw energy that influenced punk movement."
"Iggy and the Stooges","I Wanna Be Your Dog",1969,"Proto-punk with Iggy Pop's primal vocals and raw guitar distortion."
"MC5","Kick Out the Jams",1969,"High-energy rock with political overtones and Wayne Kramer's aggressive guitar work."
"The Ramones","Blitzkrieg Bop",1976,"Punk rock template with simple chord progressions and Joey Ramone's distinctive vocals."
"The Sex Pistols","Anarchy in the U.K.",1976,"Punk anthem with Johnny Rotten's sneering vocals and Steve Jones' buzzing guitar."
"The Clash","London Calling",1979,"Punk-reggae fusion with Joe Strummer's vocals and political commentary."
"Dead Kennedys","California Über Alles",1979,"Hardcore punk with Jello Biafra's satirical vocals and East Bay Ray's surf-influenced guitar."
"Black Flag","Rise Above",1981,"Hardcore punk with Henry Rollins' aggressive vocals and Greg Ginn's dissonant guitar."
"Minor Threat","Straight Edge",1981,"Hardcore punk promoting drug-free lifestyle with Ian MacKaye's passionate delivery."
"Bad Brains","Banned in D.C.",1982,"Hardcore punk with H.R.'s intense vocals and Dr. Know's lightning-fast guitar."
"Husker Du","New Day Rising",1985,"Hardcore punk with Bob Mould's melodic sensibilities and Grant Hart's driving drums."
"Minutemen","Corona",1984,"Art punk with D. Boon's angular guitar and Mike Watt's unconventional bass lines."
"X","Los Angeles",1980,"Punk-rockabilly with John Doe and Exene Cervenka's vocal interplay."
"The Replacements","Bastards of Young",1985,"Alternative rock with Paul Westerberg's introspective lyrics and sloppy-tight arrangements."
"Sonic Youth","Teen Age Riot",1988,"Noise rock with Thurston Moore's experimental guitar tunings and Kim Deal's vocals."
"Dinosaur Jr.","Freak Scene",1988,"Alternative rock with J Mascis' guitar virtuosity and slacker vocals."
"Pixies","Where Is My Mind?",1988,"Alternative rock with Black Francis' surreal lyrics and Kim Deal's melodic bass."
"Jane's Addiction","Jane Says",1988,"Alternative rock with Perry Farrell's theatrical vocals and Dave Navarro's guitar work."
"Red Hot Chili Peppers","Under the Bridge",1991,"Alternative rock with Anthony Kiedis' rap-singing and John Frusciante's emotional guitar."
"Soundgarden","Black Hole Sun",1994,"Grunge with Chris Cornell's powerful vocals and Kim Thayil's heavy guitar riffs."
"Alice in Chains","Man in the Box",1990,"Grunge with Layne Staley's haunting harmonies and Jerry Cantrell's dark guitar work."
"Stone Temple Pilots","Interstate Love Song",1994,"Grunge with Scott Weiland's versatile vocals and Dean DeLeo's guitar melodies."
"Temple of the Dog","Hunger Strike",1991,"Grunge supergroup with Chris Cornell and Eddie Vedder's vocal interplay."
"Mad Season","River of Deceit",1995,"Grunge side project with Layne Staley's vocals and Mike McCready's guitar."
"Screaming Trees","Nearly Lost You",1992,"Grunge with Mark Lanegan's gravelly vocals and Gary Lee Conner's guitar."
"Mudhoney","Touch Me I'm Sick",1988,"Grunge pioneer with Mark Arm's raw vocals and Dan Peters' powerful drumming."
"Tad","Wood Goblins",1991,"Grunge with Tad Doyle's heavy vocals and crushing guitar sound."
"The Melvins","Honey Bucket",1993,"Sludge metal with Buzz Osborne's distorted vocals and down-tuned guitars."
"Kyuss","Green Machine",1992,"Stoner rock with John Garcia's vocals and Josh Homme's desert guitar sound."
"Fu Manchu","King of the Road",1997,"Stoner rock with Scott Hill's vocals and heavy, psychedelic guitar riffs."
"Sleep","Dragonaut",1992,"Stoner metal with Al Cisneros' bass and Matt Pike's crushing guitar tone."
"Electric Wizard","Dopethrone",2000,"Doom metal with Jus Oborn's distorted vocals and extremely heavy guitar sound."
"Candlemass","Solitude",1986,"Doom metal with Messiah Marcolin's operatic vocals and Tony Iommi-influenced riffs."
"Saint Vitus","Born Too Late",1986,"Doom metal with Scott Weinrich's vocals and Dave Chandler's slow, heavy guitar."
"Trouble","Psalm 9",1984,"Doom metal with Eric Wagner's vocals and psychedelic-influenced heavy riffs."
"Pentagram","Be Forewarned",1985,"Doom metal with Bobby Liebling's vocals and Victor Griffin's guitar work."
"The Obsessed","Streetside",1990,"Stoner doom with Wino's vocals and heavy, blues-influenced guitar riffs."
"Corrosion of Conformity","Albatross",1994,"Southern metal with Pepper Keenan's vocals and stoner rock influences."
"Down","Stone the Crow",2002,"Southern metal supergroup with Phil Anselmo's vocals and Pepper Keenan's guitar."
"Pantera","Walk",1992,"Groove metal with Phil Anselmo's aggressive vocals and Dimebag Darrell's innovative guitar."
"White Zombie","More Human Than Human",1995,"Industrial metal with Rob Zombie's horror vocals and Jay Yuenger's guitar."
"Ministry","Jesus Built My Hotrod",1991,"Industrial metal with Al Jourgensen's distorted vocals and heavy guitar samples."
"Nine Inch Nails","Head Like a Hole",1989,"Industrial rock with Trent Reznor's aggressive vocals and electronic-guitar fusion."
"Tool","Sober",1993,"Progressive metal with Maynard James Keenan's vocals and Adam Jones' complex guitar work."
"A Perfect Circle","Judith",2000,"Alternative metal with Maynard's vocals and Billy Howerdel's atmospheric guitar."
"System of a Down","Chop Suey!",2001,"Nu metal with Serj Tankian's eclectic vocals and Daron Malakian's heavy riffs."
"Rage Against the Machine","Killing in the Name",1992,"Rap metal with Zack de la Rocha's political rap and Tom Morello's effects-laden guitar."
"Faith No More","Epic",1989,"Alternative metal with Mike Patton's versatile vocals and Jim Martin's heavy guitar."
"Mr. Bungle","Quote Unquote",1991,"Experimental rock with Mike Patton's vocal gymnastics and eclectic musical styles."
"Primus","Jerry Was a Race Car Driver",1991,"Funk metal with Les Claypool's distinctive bass and Larry LaLonde's experimental guitar."
"Living Colour","Cult of Personality",1988,"Funk metal with Corey Glover's vocals and Vernon Reid's innovative guitar techniques."
"24-7 Spyz","Stuntman",1989,"Funk metal with P. Fluid's rap-rock vocals and heavy guitar riffs."
"Fishbone","Ma and Pa",1988,"Ska-punk-metal fusion with Angelo Moore's vocals and eclectic instrumentation."
"Bad Brains","I Against I",1986,"Hardcore-metal fusion with H.R.'s versatile vocals and Dr. Know's guitar evolution."
"Suicidal Tendencies","Institutionalized",1983,"Crossover thrash with Mike Muir's stream-of-consciousness vocals and heavy guitar."
"D.R.I.","Thrash Zone",1989,"Crossover thrash with Kurt Brecht's vocals and Spike Cassidy's fast guitar riffs."
"Municipal Waste","The Art of Partying",2007,"Thrash revival with Tony Foresta's vocals and Ryan Waste's retro thrash guitar."
"Gama Bomb","Zombi Brew",2006,"Thrash revival with Philly Byrnes' vocals and Luke Graham's old-school riffs."
"Evile","Thrasher",2007,"British thrash revival with Matt Drake's vocals and Ol Drake's technical guitar work."
"Warbringer","Waking into Nightmares",2009,"Thrash revival with John Kevill's vocals and John Laux's aggressive guitar."
"Bonded by Blood","Feed the Beast",2008,"Thrash revival with Jose Barrales' vocals and Juan Juarez's Bay Area-influenced guitar."
"Toxic Holocaust","Wild Dogs",2008,"Thrash-punk crossover with Joel Grind's vocals and raw, garage-influenced production."
"Power Trip","Executioner's Tax (Swing of the Axe)",2017,"Crossover thrash with Riley Gale's vocals and Blake Ibanez's riff-heavy guitar."
"Iron Reagan","Miserable Failure",2014,"Crossover thrash with Tony Foresta's vocals and Municipal Waste members' instrumentation."
"Mammoth Grinder","Servant to the Most High",2013,"Death-thrash with Chris Ulsh's growled vocals and heavy, crushing guitar sound."
"Gatecreeper","Sweltering Madness",2016,"Death metal with Chase Mason's growled vocals and Eric Wagner's Swedish-influenced guitar."
"Tomb Mold","Planetary Cleavage",2017,"Death metal with Max Klebanoff's vocals and Derrick Vella's old-school riffs."
"Blood Incantation","The Giza Power Plant",2016,"Technical death metal with Paul Riedl's vocals and Morris Kolontyrsky's complex guitar."
"Outer Heaven","Visceral Ascension",2018,"Death metal with Austin Haines' vocals and progressive song structures."
"Skeletal Remains","Devouring Mortality",2018,"Death metal with Chris Monroy's vocals and Mike De La O's classic riffs."
"Gruesome","Savage Land",2015,"Death metal tribute with Matt Harvey's vocals and Daniel Gonzalez' Schuldiner-influenced guitar."
"Possessed","The Exorcist",1985,"Death metal pioneer with Jeff Becerra's growled vocals and Larry LaLonde's early extreme guitar."
"Death","Scream Bloody Gore",1987,"Death metal foundation with Chuck Schuldiner's vocals and progressive guitar evolution."
"Morbid Angel","Maze of Torment",1989,"Death metal with David Vincent's vocals and Trey Azagthoth's technical guitar work."
"Cannibal Corpse","Hammer Smashed Face",1993,"Brutal death metal with Chris Barnes' growled vocals and Rob Barrett's crushing riffs."
"Obituary","Slowly We Rot",1989,"Death metal with John Tardy's distinctive growls and Trevor Peres' heavy guitar tone."
"Deicide","Legion",1992,"Death metal with Glen Benton's anti-religious vocals and Eric Hoffman's tremolo riffing."
"Suffocation","Liege of Inveracity",1991,"Technical death metal with Frank Mullen's vocals and Terrance Hobbs' complex guitar."
"Immolation","Dawn of Possession",1991,"Death metal with Ross Dolan's vocals and Robert Vigna's dissonant guitar work."
"Incantation","Golgotha",1992,"Death doom with Craig Pillard's cavernous vocals and John McEntee's heavy riffs."
"Autopsy","Severed Survival",1989,"Death metal with Chris Reifert's vocals and Danny Coralles' punk-influenced guitar."
"Bolt Thrower","World Eater",1989,"Death metal with Karl Willetts' vocals and war-themed lyrics and imagery."
"Entombed","Left Hand Path",1990,"Swedish death metal with L.G. Petrov's vocals and Uffe Cederlund's HM-2 guitar tone."
"Dismember","Override of the Overture",1991,"Swedish death metal with Matti Karki's vocals and David Blomqvist's buzzsaw guitar."
"Grave","Into the Grave",1991,"Swedish death metal with Ola Lindgren's vocals and classic Stockholm sound."
"Unleashed","Where No Life Dwells",1991,"Swedish death metal with Johnny Hedlund's vocals and Fredrik Lindgren's guitar."
"At the Gates","Slaughter of the Soul",1995,"Melodic death metal with Tomas Lindberg's vocals and Anders Björler's melodic riffs."
"In Flames","The Jester Race",1996,"Melodic death metal with Anders Fridén's vocals and Björn Gelotte's guitar melodies."
"Dark Tranquillity","The Gallery",1995,"Melodic death metal with Mikael Stanne's vocals and Niklas Sundin's atmospheric guitar."
"Arch Enemy","Nemesis",2005,"Melodic death metal with Angela Gossow's growls and Michael Amott's neoclassical guitar."
"Children of Bodom","Hate Me!",2003,"Melodic death metal with Alexi Laiho's vocals and keyboard-guitar interplay."
"Amon Amarth","Twilight of the Thunder God",2008,"Melodic death metal with Johan Hegg's Viking vocals and Olavi Mikkonen's guitar."
"Insomnium","While We Sleep",2011,"Melodic death metal with Niilo Sevänen's vocals and Ville Friman's atmospheric guitar."
"Be'lakor","Venator",2012,"Melodic death metal with George Kosmas' vocals and Shaun Sykes' progressive guitar."
"Kataklysm","Push the Venom",2018,"Melodic death metal with Maurizio Iacono's vocals and Jean-François Dagenais' guitar."
"The Black Dahlia Murder","What a Horrible Night to Have a Curse",2004,"Melodic death metal with Trevor Strnad's vocals and Brian Eschbach's guitar work."
"Darkest Hour","Convalescence",2005,"Melodic death metal with John Henry's vocals and Mike Schleibaum's guitar harmonies."
"All That Remains","This Calling",2006,"Melodic death metal with Phil Labonte's vocals and Oli Herbert's guitar solos."
"As I Lay Dying","My Own Grave",2018,"Metalcore with Tim Lambesis' vocals and Phil Sgrosso's melodic guitar work."
"Killswitch Engage","My Last Serenade",2002,"Metalcore with Jesse Leach's vocals and Adam Dutkiewicz's heavy-melodic guitar."
"Trivium","Pull Harder on the Strings of Your Martyr",2005,"Metalcore with Matt Heafy's vocals and Corey Beaulieu's dual guitar attack."
"Bullet for My Valentine","Tears Don't Fall",2005,"Metalcore with Matt Tuck's vocals and Michael Paget's guitar melodies."
"Avenged Sevenfold","Beast and the Harlot",2005,"Heavy metal with M. Shadows' vocals and Synyster Gates' virtuosic guitar work."
"Lamb of God","Laid to Rest",2004,"Groove metal with Randy Blythe's vocals and Willie Adler's crushing riffs."
"Mastodon","Blood and Thunder",2004,"Progressive metal with Troy Sanders' vocals and Brent Hinds' sludgy guitar."
"Baroness","March to the Sea",2012,"Progressive metal with John Baizley's vocals and guitar artwork aesthetic."
"High on Fire","Snakes for the Divine",2010,"Sludge metal with Matt Pike's vocals and crushing, Sleep-evolved guitar tone."
"Red Fang","Prehistoric Dog",2011,"Stoner rock with Bryan Giles' vocals and heavy, beer-soaked guitar riffs."
"Torche","Healer",2012,"Sludge pop with Steve Brooks' melodic vocals and heavy yet catchy guitar work."
"The Sword","Freya",2006,"Stoner metal with J.D. Cronise's vocals and fantasy-themed guitar riffing."
"Windhand","Diablerie",2013,"Doom metal with Dorthia Cottrell's ethereal vocals and Garrett Morris' heavy guitar."
"Monolord","Empress Rising",2014,"Doom metal with Thomas Jäger's vocals and Mika Häkki's massive guitar tone."
"Bongripper","Satan Worshipping Doom",2010,"Instrumental doom with crushing guitar tone and apocalyptic atmosphere."
"YOB","Our Raw Heart",2018,"Doom metal with Mike Scheidt's vocals ranging from whisper to roar."
"Bell Witch","Mirror Reaper",2017,"Funeral doom with Dylan Desmond's bass and Adrian Guerra's minimal drums."
"Sunn O)))","Black One",2005,"Drone doom with Stephen O'Malley's amplifier worship and earth-shaking frequency."
"Earth","The Bees Made Honey in the Lion's Skull",2008,"Drone rock with Dylan Carlson's meditative guitar and Adrienne Davies' sparse drums."
"Boris","Pink",2005,"Experimental sludge with Takeshi's vocals and Wata's heavy guitar experimentation."
"Melvins","Houdini",1993,"Sludge metal with Buzz Osborne's vocals and Dale Crover's thunderous drumming."
"Neurosis","Through Silver in Blood",1996,"Post-metal with Scott Kelly's intense vocals and atmospheric heavy arrangements."
"Isis","Oceanic",2002,"Post-metal with Aaron Turner's vocals and Jeff Caxide's flowing bass lines."
"Cult of Luna","Eternal Kingdom",2008,"Post-metal with Johannes Persson's vocals and cinematic guitar atmospherics."
"Russian Circles","Geneva",2009,"Instrumental post-metal with Mike Sullivan's guitar and Dave Turncrantz's drums."
"Pelican","Australasia",2003,"Instrumental post-metal with Trevor de Brauw's melodic guitar and atmospheric dynamics."
"Red Sparowes","Buildings Began to Stretch Wide Across the Sky",2005,"Instrumental post-rock with Josh Graham's guitar and cinematic song titles."
"Godspeed You! Black Emperor","East Hastings",1997,"Post-rock with Efrim Menuck's guitar and apocalyptic field recordings."
"Mogwai","Mogwai Fear Satan",1997,"Post-rock with Stuart Braithwaite's guitar and dynamic quiet-loud structures."
"Explosions in the Sky","Your Hand in Mine",2003,"Post-rock with Munaf Rayani's guitar and emotional instrumental storytelling."
"This Will Destroy You","New Topia",2008,"Post-rock with Jeremy Galindo's guitar and shoegaze-influenced atmospherics."
"Sigur Rós","Hoppípolla",2005,"Post-rock with Jónsi's falsetto vocals and Bow-played guitar techniques."
"Mono","Life in Mono",2006,"Post-rock with Taka Goto's guitar and orchestral chamber arrangements."
"A Silver Mt. Zion","God Bless Our Dead Marines",2003,"Post-rock with Efrim Menuck's vocals and political violin arrangements."
"Swans","Stay Here",2012,"Post-rock with Michael Gira's commanding vocals and hypnotic repetitive structures."
"Godflesh","Streetcleaner",1989,"Industrial metal with Justin Broadrick's vocals and crushing drum machine."
"Jesu","Silver",2006,"Post-metal with Justin Broadrick's shoegaze-influenced vocals and heavy guitar."
"Helmet","Unsung",1992,"Post-hardcore with Page Hamilton's vocals and dissonant drop-tuned guitar riffs."
"Quicksand","Slip",1993,"Post-hardcore with Walter Schreifels' vocals and melodic hardcore evolution."
"Fugazi","Waiting Room",1988,"Post-hardcore with Ian MacKaye's vocals and Guy Picciotto's angular guitar."
"Drive Like Jehu","Yank Crime",1994,"Post-hardcore with Rick Froberg's vocals and intricate guitar interplay."
"At the Drive-In","One Armed Scissor",2000,"Post-hardcore with Cedric Bixler's vocals and Omar Rodriguez's spastic guitar."
"The Mars Volta","De-Loused in the Comatorium",2003,"Progressive rock with Cedric Bixler-Zavala's vocals and Omar Rodriguez-Lopez's guitar."
"King Crimson","21st Century Schizoid Man",1969,"Progressive rock with Greg Lake's vocals and Robert Fripp's innovative guitar."
"Yes","Roundabout",1971,"Progressive rock with Jon Anderson's vocals and Steve Howe's classical guitar."
"Genesis","Watcher of the Skies",1972,"Progressive rock with Peter Gabriel's vocals and Tony Banks' keyboard atmospherics."
"Jethro Tull","Aqualung",1971,"Progressive rock with Ian Anderson's vocals and Martin Barre's blues guitar."
"Emerson Lake & Palmer","Lucky Man",1970,"Progressive rock with Greg Lake's vocals and Keith Emerson's Moog synthesizer."
"Rush","Tom Sawyer",1981,"Progressive rock with Geddy Lee's vocals and Alex Lifeson's guitar virtuosity."
"Dream Theater","Pull Me Under",1992,"Progressive metal with James LaBrie's vocals and John Petrucci's technical guitar."
"Queensrÿche","Silent Lucidity",1990,"Progressive metal with Geoff Tate's vocals and Chris DeGarmo's atmospheric guitar."
"Fates Warning","Monument",1988,"Progressive metal with John Arch's vocals and Jim Matheos' complex compositions."
"Porcupine Tree","Trains",2002,"Progressive rock with Steven Wilson's vocals and guitar-driven melancholic atmospherics."
"Opeth","Blackwater Park",2001,"Progressive death metal with Mikael Åkerfeldt's clean/growled vocals and guitar."
"Between the Buried and Me","White Walls",2007,"Progressive metalcore with Tommy Rogers' vocals and Paul Waggoner's technical guitar."
"The Dillinger Escape Plan","43% Burnt",1999,"Mathcore with Greg Puciato's vocals and Ben Weinman's chaotic guitar spasms."
"Converge","Jane Doe",2001,"Metalcore with Jacob Bannon's vocals and Kurt Ballou's dissonant guitar work."
"Botch","Saint Matthew Returns to the Womb",1998,"Mathcore with Dave Verellen's vocals and Dave Knudson's angular guitar riffs."
"The Chariot","The Captive",2007,"Mathcore with Josh Scogin's vocals and chaotic live performance energy."
"Every Time I Die","The New Black",2005,"Metalcore with Keith Buckley's vocals and Jordan Buckley's southern-tinged guitar."
"Norma Jean","Memphis Will Be Laid to Waste",2003,"Metalcore with Josh Scogin's vocals and heavy breakdown-oriented guitar."
