Artist,Title,Year,Description
"Disclosure feat. Lorde","Magnets",2015,"Attraction-themed electronic track with distinctive vocals and atmospheric production."
"Disclosure","Jaded",2015,"Weariness-themed dance track with melancholic atmosphere and emotional depth."
"Disclosure feat. Miguel","Good Intentions",2015,"Moral-themed electronic track with smooth vocals and sophisticated production."
"Disclosure feat. Nao","Superego",2015,"Psychological dance track with ethereal vocals and complex arrangement."
"Disclosure","Echoes",2015,"Repetition-themed electronic track with layered production and atmospheric sound."
"Disclosure feat. The Weeknd","Nocturnal",2016,"Night-themed collaboration with dark vocals and moody production."
"Disclosure feat. Kehlani & Syd","Birthday",2016,"Celebration track with collaborative vocals and party atmosphere."
"Disclosure","Boss",2016,"Authority-themed dance track with confident attitude and driving beat."
"Disclosure","Bang That",2016,"High-energy electronic anthem with aggressive production and party energy."
"Disclosure feat. Ryann","Vice",2016,"Temptation-themed track with seductive vocals and atmospheric production."
"Disclosure feat. Fatoumata Diawara","Ultimatum",2018,"Demanding dance track with African influences and powerful vocals."
"Disclosure","Moonlight",2018,"Nocturnal electronic ballad with romantic atmosphere and gentle production."
"Disclosure","Where Angels Fear to Tread",2018,"Bold dance track with gospel references and uplifting energy."
"Disclosure","Love Can Be So Hard",2018,"Relationship-themed electronic track with emotional vocals and atmospheric production."
"Disclosure","Funky Sensation",2018,"Groove-oriented dance track with funk influences and infectious rhythm."
"Disclosure feat. Zed Bias","Where You Come From",2018,"Origin-themed collaboration with UK garage influences and hypnotic beat."
"Disclosure feat. Khalid","Talk",2019,"Communication-themed track with smooth vocals and contemporary R&B influences."
"Disclosure feat. Channel Tres","Lavender",2020,"Aromatic dance track with hip-hop influences and atmospheric production."
"Disclosure feat. Aminé & slowthai","My High",2020,"Elevated dance anthem with rap features and energetic production."
"Disclosure feat. Mick Jenkins","Who Knew?",2020,"Surprise-themed track with rap vocals and sophisticated production."
"Disclosure feat. Fatoumata Diawara","Douha (Mali Mali)",2020,"African-influenced dance track with traditional vocals and modern production."
"Disclosure","Fractal (Interlude)",2020,"Mathematical-themed electronic interlude with complex rhythmic patterns."
"Disclosure feat. Blick Bassy","Ce n'est pas",2020,"French-language dance track with African influences and atmospheric production."
"Disclosure feat. Eric Thomas","ENERGY",2020,"Motivational dance anthem with inspirational vocals and driving production."
"Disclosure","Thinking 'Bout You (Interlude)",2020,"Contemplative electronic piece with intimate atmosphere and gentle production."
"Cassius","I Love U So",2002,"French house classic with infectious groove and disco samples."
"Disclosure feat. Common","Reverie",2020,"Dreamy collaboration with rap vocals and atmospheric production."
"Disclosure","In My Arms",2021,"Protective dance track with emotional vocals and comforting atmosphere."
"Disclosure","Seduction",2021,"Temptation-themed electronic track with sultry production and hypnotic rhythm."
"Disclosure","Happening",2021,"Present-moment dance anthem with urgent vocals and driving beat."
"Disclosure","Never Enough",2021,"Insatiable dance track with demanding vocals and intense production."
"Disclosure feat. H.E.R.","Observer Effect",2023,"Scientific-themed collaboration with soulful vocals and sophisticated production."
"Disclosure feat. Anthony Hamilton","Simply Won't Do",2023,"Standards-themed track with gospel influences and powerful vocals."
"Disclosure feat. James Vincent McMorrow","Live Without Your Love",2023,"Dependency ballad with emotional vocals and atmospheric production."
"Disclosure feat. Channel Tres","GPS",2023,"Navigation-themed dance track with hip-hop influences and driving beat."
"Disclosure feat. Aquilo","Atmosphere",2023,"Environmental electronic track with ethereal vocals and ambient production."
"Disclosure feat. Bou","Feels Like",2023,"Sensation-themed collaboration with drum & bass influences and energetic production."
"Disclosure feat. SG Lewis","Higher Than Ever Before",2023,"Elevation anthem with uplifting vocals and soaring production."
"Disclosure feat. Joseph","Teach Me",2023,"Learning-themed track with humble vocals and sophisticated arrangement."
"Disclosure feat. Raye","Waterfall",2023,"Flowing dance track with powerful vocals and cascading production."
"Disclosure feat. RAYE","Amanisfree",2023,"Liberation anthem with empowering vocals and uplifting energy."
"Disclosure","Y Don't U",2023,"Questioning dance track with demanding vocals and driving rhythm."
"Disclosure feat. Channel Tres","She's Gone Dance On",2023,"Movement celebration with hip-hop influences and party atmosphere."
"Tourist","Tides",2019,"Oceanic electronic track with flowing production and atmospheric vocals."
"Tourist feat. Ardyn","Run",2019,"Escape-themed collaboration with urgent vocals and driving production."
"Tourist feat. James Vincent McMorrow","Emily",2019,"Personal electronic ballad with intimate vocals and gentle atmosphere."
"Tourist feat. Niia","Apollo",2019,"Space-themed track with ethereal vocals and cosmic production."
"Tourist feat. Ellie Goulding","Bunny",2019,"Playful collaboration with distinctive vocals and quirky production."
"Tourist","Elixir",2019,"Magical electronic track with mystical atmosphere and flowing production."
"Tourist feat. Humanesque","Hearts",2019,"Emotional collaboration with heartfelt vocals and atmospheric production."
"Tourist feat. Ardyn","We Stayed Up All Night",2019,"Nocturnal anthem with energetic vocals and driving rhythm."
"Tourist feat. James Vincent McMorrow","So",2019,"Contemplative electronic track with thoughtful vocals and gentle production."
"Tourist feat. Tom Rosenthal","Kin",2019,"Family-themed collaboration with warm vocals and comforting atmosphere."
"Tourist","Still Life",2019,"Artistic electronic piece with painterly production and atmospheric sound."
"Tourist feat. Niia","Wildfire",2019,"Passionate collaboration with intense vocals and burning production."
"Glass Animals","Your Love",2022,"Romantic indie-dance track with smooth vocals and contemporary production."
"Glass Animals","Heat Waves",2020,"Viral indie-electronic hit with dreamy vocals and atmospheric production."
"Glass Animals feat. Denzel Curry","Tokyo Drifting",2019,"Japanese-influenced collaboration with rap features and energetic production."
"Glass Animals","Tangerine",2020,"Citrus-themed track with sweet vocals and colorful production."
"Glass Animals","Hot Sugar",2020,"Sweet electronic track with playful vocals and sticky production."
"Glass Animals","Space Ghost Coast to Coast",2020,"Cartoon-referenced track with quirky vocals and nostalgic atmosphere."
"Glass Animals","Domestic Bliss",2020,"Home-themed electronic track with comfortable vocals and cozy production."
"Glass Animals","Melon and the Coconut",2020,"Fruit-themed collaboration with tropical vocals and sunny atmosphere."
"Glass Animals","It's All So Incredibly Loud",2020,"Overwhelming electronic track with intense vocals and chaotic production."
"Glass Animals","Dreamland",2020,"Title track with nostalgic vocals and atmospheric production."
"Glass Animals","Helium",2020,"Light electronic track with floating vocals and ethereal production."
"Glass Animals","I Don't Wanna Talk (I Just Wanna Dance)",2022,"Movement anthem with escapist vocals and driving rhythm."
"Glass Animals","Creatures in Heaven",2024,"Celestial electronic track with ethereal vocals and heavenly production."
"Glass Animals","Life Itself",2016,"Existential indie-electronic track with philosophical vocals and complex production."
"Glass Animals","Youth",2016,"Nostalgic electronic ballad with tender vocals and atmospheric production."
"Glass Animals","Season 2 Episode 3",2016,"TV-referenced track with narrative vocals and cinematic production."
"Glass Animals","Pork Soda",2016,"Quirky electronic track with unusual vocals and experimental production."
"Glass Animals","Mama's Gun",2016,"Violent electronic track with dark vocals and intense atmosphere."
"Glass Animals","Cane Shuga",2016,"Sweet electronic track with sticky vocals and sugary production."
"Glass Animals","The Other Side of Paradise",2016,"Tropical electronic ballad with paradise vocals and lush production."
"Glass Animals","Take a Slice",2016,"Sharing-themed track with generous vocals and warm atmosphere."
"Glass Animals","Poplar St",2016,"Street-themed electronic track with urban vocals and atmospheric production."
"Glass Animals","Agnes",2016,"Personal electronic ballad with intimate vocals and emotional depth."
"Glass Animals","Gooey",2014,"Viscous electronic track with sticky vocals and hypnotic production."
"Glass Animals","Black Mambo",2014,"Snake-themed electronic track with dangerous vocals and slithering production."
"Glass Animals","Pools",2014,"Aquatic electronic track with swimming vocals and fluid production."
"Glass Animals","Intruxx",2014,"Instrumental electronic piece with atmospheric production and ambient sound."
"Glass Animals","Hazey",2014,"Unclear electronic track with foggy vocals and atmospheric production."
"Glass Animals","Flip",2014,"Reversible electronic track with acrobatic vocals and dynamic production."
"Glass Animals feat. Tei Shi","Holiest",2014,"Sacred collaboration with spiritual vocals and ethereal production."
"Glass Animals","Psylla",2014,"Insect-themed electronic track with buzzing production and creepy atmosphere."
"Glass Animals","Wyrd",2014,"Mystical electronic track with ancient vocals and otherworldly production."
"Glass Animals","Cocoa Hooves",2014,"Animal-themed electronic track with galloping rhythm and wild production."
"Glass Animals","JDNT",2014,"Abbreviated electronic track with cryptic vocals and mysterious production."
"Glass Animals feat. Joey Bada$$","Lose Control",2016,"Chaos-themed collaboration with rap features and intense production."
"Glass Animals","Love Lockdown",2015,"Kanye West cover with electronic interpretation and emotional vocals."
"Glass Animals","Exxus",2014,"Corrupted electronic track with distorted vocals and glitchy production."
"Glass Animals","Dust in Your Pocket",2013,"Hidden electronic track with secretive vocals and intimate production."
"Glass Animals","Golden Antlers",2013,"Precious electronic track with valuable vocals and shimmering production."
"alt-J","Something Good",2014,"Optimistic indie-electronic track with hopeful vocals and uplifting production."
"alt-J","Left Hand Free",2014,"Liberation anthem with confident vocals and driving guitar-electronic fusion."
"alt-J","Every Other Freckle",2014,"Intimate electronic ballad with detailed vocals and precise production."
"alt-J","Warm Foothills",2014,"Geographical electronic track with landscape vocals and atmospheric production."
"alt-J","The Gospel of John Hurt",2014,"Religious electronic track with spiritual vocals and reverent production."
"alt-J","Pusher",2014,"Aggressive electronic track with forceful vocals and intense production."
"alt-J","Bloodflood Pt. II",2014,"Sequential electronic track with flowing vocals and liquid production."
"alt-J","Choices",2014,"Decision-themed electronic track with contemplative vocals and thoughtful production."
"alt-J","Hunger of the Pine",2014,"Desire-themed electronic track with yearning vocals and atmospheric production."
"alt-J","Leaving Nara",2014,"Departure electronic ballad with farewell vocals and emotional production."
"alt-J feat. Ellie Rowsell","3WW",2017,"Coded collaboration with mysterious vocals and cryptic production."
"alt-J","In Cold Blood",2017,"Violent electronic track with chilling vocals and intense atmosphere."
"alt-J","House of the Rising Sun",2017,"Traditional cover with electronic interpretation and dramatic vocals."
"alt-J","Hit Me Like That Snare",2017,"Percussion-themed electronic track with rhythmic vocals and driving production."
"alt-J","Deadcrush",2017,"Obsession electronic track with crushing vocals and intense production."
"alt-J","Adeline",2017,"Personal electronic ballad with intimate vocals and gentle production."
"alt-J","Last Year",2017,"Nostalgic electronic track with retrospective vocals and atmospheric production."
"alt-J","Pleader",2017,"Desperate electronic track with pleading vocals and emotional intensity."
"Purple Disco Machine","Hypnotized",2019,"Hypnotic nu-disco with retro synths and infectious dance groove."
"alt-J","Bane",2022,"Destructive electronic track with dark vocals and ominous production."
