Artist,Title,Year,Description
"The Mighty Mighty Bosstones","The Impression That I Get",1997,"Ska-punk band incorporating swing elements with brass section and punk vocals."
"Royal Crown Revue","Hey Pachuco",2010,"Australian swing revival band performing original compositions with authentic vintage styling."
"Tape Five","A Cool Cat in Town",2009,"German electro-swing project creating cinematic compositions with vintage film aesthetics."
"Swing'it","Billie Jean",2014,"Michael Jackson's pop classic transformed into 1940s big band swing arrangement."
"Postmodern Jukebox","Bad Guy",2019,"Billie Eilish's dark pop hit reimagined as 1960s girl group number."
"The Atomic Fireballs","Man with the Hex",1999,"Detroit swing revival band with rockabilly influences and vintage horn section."
"Wolfgang Lohr","Crazy",2014,"Gnarls Barkley's neo-soul hit transformed into smooth jazz with vintage saxophone."
"Swing Cafe","Gangnam Style",2013,"PSY's K-pop phenomenon converted to 1920s Charleston with vintage dance rhythms."
"The 8-Bit Big Band","Meta Knight's Revenge",2017,"Video game music arranged for jazz big band with contemporary electronic elements."
"Belleville","Caravan",2015,"Duke Ellington standard performed with modern electro-swing production and vintage samples."
"Gunhild Carling","All of Me",2015,"Gerald Marks standard performed with authentic jazz instrumentation and vintage styling."
"Casey Abrams","Nature Boy",2014,"Nat King Cole classic reimagined with contemporary R&B vocals and modern production."
"The Hot Sardines","Running Wild",2014,"A.H. Gibbs standard performed with authentic 1920s jazz arrangements and vintage instrumentation."
"Robyn Adele Anderson","Somebody That I Used to Know",2015,"Gotye's indie hit transformed into 1950s torch song with vintage jazz arrangement."
"Puddles Pity Party","Mad World",2013,"Tears for Fears ballad performed as melancholic vintage cabaret with theatrical styling."
"Scott Bradlee","Blank Space",2015,"Taylor Swift's pop hit converted to ragtime piano with 1920s arrangement."
"Cissie Redgwick","Bad Romance",2018,"Lady Gaga's electro-pop anthem reimagined as sultry 1940s jazz standard."
"Haley Reinhart","Creep",2017,"Radiohead's grunge classic transformed into soulful R&B ballad with vintage production."
"The Correspondents","Washington Square",2013,"Original electro-swing composition with vintage dance hall aesthetics and modern beats."
"Chinese Man","Get Up",2014,"French collective blending jazz samples with trip-hop beats and vintage vocal samples."
"Electro Deluxe","Control",2015,"Original funk-electronic fusion with vintage soul influences and contemporary production."
"Dimie Cat","L'Homme à Tout Faire",2017,"Original French chanson with electro-swing production and vintage cabaret styling."
"Club des Belugas","Some Like It Hot",2007,"Original downtempo jazz with modern electronic elements and vintage film samples."
"Grant Lazlo","Royals",2014,"Lorde's indie pop hit transformed into sophisticated big band jazz arrangement."
"Mario Jose","Counting Stars",2014,"OneRepublic's pop-rock hit converted to vintage jazz standard with crooner vocals."
"Lamuzgueule","Call Me Maybe",2013,"Carly Rae Jepsen's pop anthem reimagined as 1920s vaudeville performance."
"Proleter","Can't Sleep",2014,"Original electro-swing composition with vintage film noir aesthetics and modern production."
"Good Co","Shake It Off",2015,"Taylor Swift's pop hit transformed into swing dance number with big band arrangement."
"Lyre Le Temps","Uptown Funk",2016,"Bruno Mars' funk-pop hit reimagined with French electro-swing production."
"Dirty Honkers","Heathens",2017,"Twenty One Pilots' alternative hit converted to vintage swing with big band arrangement."
"Alice Francis","St. Louis Blues",2013,"W.C. Handy blues standard performed with 1920s flapper styling and modern production."
"Kormac","Wash My Hands",2015,"Original composition blending vintage jazz samples with contemporary electronic beats."
"TipTop","Old Town Road",2019,"Lil Nas X's country-rap hit reimagined as 1930s western swing number."
"The Speakeasies' Swing Band!","Rolling in the Deep",2013,"Adele's powerhouse ballad transformed into authentic 1940s big band arrangement."
"Pink Martini","Lilly",2004,"Original vintage-inspired composition with global influences and sophisticated arrangements."
"Michael Bublé","Sway",2003,"Pablo Beltrán Ruiz standard performed with modern big band production and crooner styling."
"The Baseballs","Crazy in Love",2010,"Beyoncé's R&B hit covered with 1950s rockabilly styling and vintage instrumentation."
"Richard Cheese","Baby One More Time",2005,"Britney Spears pop hit performed as smooth lounge jazz with crooner vocals."
"Vintage Trouble","Total Strangers",2015,"Original blues rock with authentic 1960s soul influences and modern production."
"Lake Street Dive","I Want You Back",2012,"Jackson 5 classic reimagined with indie folk instrumentation and vintage harmonies."
"Casey Abrams","Georgia on My Mind",2013,"Hoagy Carmichael standard performed with contemporary R&B vocals and jazz arrangement."
"Swing'it","Somebody That I Used to Know",2014,"Gotye's indie hit transformed into 1940s swing with authentic big band arrangement."
"Cristina Gatti","Poker Face",2016,"Lady Gaga's electro-pop hit converted to sultry jazz standard with vintage styling."
"The Hot Club of Cowtown","Ida Red",2008,"Traditional western swing performed with authentic instrumentation and vintage arrangements."
"Caro Emerald","That Man",2010,"Original vintage pop with 1940s influences and contemporary production techniques."
"Jive Aces","In the Mood",2009,"Glenn Miller classic performed by British swing revival band with authentic arrangements."
"The Brian Setzer Orchestra","The Dirty Boogie",1998,"Original rockabilly-swing fusion with big band arrangement and modern energy."
"Imelda May","Johnny Got a Boom Boom",2008,"Original rockabilly composition with vintage styling and contemporary rock production."
"Big Bad Voodoo Daddy","Mr. Pinstripe Suit",1998,"Original neo-swing composition with authentic 1940s styling and modern attitude."
"The Cherry Poppin' Daddies","Brown Derby Jump",1997,"Original swing revival composition combining vintage jazz with ska-punk energy."
"Squirrel Nut Zippers","Put a Lid on It",1998,"Original alternative swing with vintage jazz influences and punk attitude."
"The Mighty Mighty Bosstones","The Rascal King",1997,"Original ska-punk with swing influences and brass section arrangements."
"Royal Crown Revue","The Fever",2011,"Original swing revival composition with authentic vintage styling and modern production."
"Tape Five","Bad Boy Good Man",2007,"Original electro-swing with vintage samples and contemporary electronic production."
"The Atomic Fireballs","Caveman",1999,"Original swing revival with rockabilly influences and vintage horn arrangements."
"Swing Cafe","Despacito",2017,"Luis Fonsi's Latin pop hit transformed into 1940s big band swing arrangement."
"Postmodern Jukebox","Anaconda",2014,"Nicki Minaj's hip-hop hit reimagined as 1920s jazz age number."
"Wolfgang Lohr","Uptown Funk",2015,"Bruno Mars' funk-pop hit transformed into smooth jazz with vintage saxophone."
"The 8-Bit Big Band","Megalovania",2018,"Undertale video game music arranged for jazz big band with electronic elements."
"Belleville","Minor Swing",2016,"Django Reinhardt classic performed with modern electro-swing production."
"Gunhild Carling","Summertime",2017,"Gershwin standard performed with authentic jazz instrumentation and vintage styling."
"The Hot Sardines","Comes Love",2015,"Lew Brown/Sam H. Stept standard with authentic 1930s jazz arrangements."
"Robyn Adele Anderson","Pumped Up Kicks",2016,"Foster the People's indie hit transformed into 1950s girl group number."
"Puddles Pity Party","Chandelier",2015,"Sia's pop ballad performed as melancholic vintage cabaret with theatrical styling."
"Scott Bradlee","Shake It Off",2014,"Taylor Swift's pop hit converted to ragtime piano with 1920s arrangement."
"Cissie Redgwick","Single Ladies",2019,"Beyoncé's R&B anthem reimagined as sultry 1940s jazz standard."
"Haley Reinhart","Can't Help Myself",2016,"Four Tops Motown classic with contemporary R&B vocals and modern production."
"The Correspondents","Puppet Loosely Strung",2014,"Original electro-swing with vintage dance hall aesthetics and contemporary beats."
"Chinese Man","Racing",2013,"Original trip-hop composition blending jazz samples with modern electronic production."
"Electro Deluxe","Starlight",2016,"Original funk-electronic fusion with vintage soul influences and contemporary arrangements."
"Dimie Cat","Ça C'est Paris",2018,"Original French chanson with electro-swing production and vintage cabaret styling."
"Club des Belugas","Memory",2009,"Original downtempo jazz with modern electronic elements and cinematic atmosphere."
"Grant Lazlo","Stay",2015,"Rihanna's pop ballad transformed into sophisticated big band jazz arrangement."
"Mario Jose","Radioactive",2014,"Imagine Dragons' rock hit converted to vintage jazz standard with crooner vocals."
"Lamuzgueule","Gentleman",2013,"PSY's K-pop follow-up reimagined as 1920s Charleston dance number."
"Proleter","Throw It Back",2015,"Original electro-swing with vintage film samples and contemporary electronic beats."
"Good Co","All About That Bass",2015,"Meghan Trainor's pop hit transformed into retro doo-wop with vintage harmonies."
"Lyre Le Temps","Can't Stop the Feeling",2017,"Justin Timberlake's pop anthem reimagined with French electro-swing production."
"Dirty Honkers","Closer",2017,"The Chainsmokers' EDM hit converted to vintage swing with big band arrangement."
"Alice Francis","Gangster",2014,"Original composition with 1920s flapper styling and contemporary production techniques."
"Kormac","Word Play",2016,"Original hip-hop influenced track blending vintage jazz samples with modern beats."
"TipTop","Sunflower",2019,"Post Malone's hip-hop hit reimagined as 1930s western swing number."
"The Speakeasies' Swing Band!","Somebody That I Used to Know",2014,"Gotye's indie hit transformed into authentic 1940s big band arrangement."
"Pink Martini","Brazil",2007,"Ary Barroso samba standard with sophisticated orchestral arrangement and global influences."
"Michael Bublé","Cry Me a River",2005,"Arthur Hamilton standard with modern big band production and crooner styling."
"The Baseballs","Hot n Cold",2011,"Katy Perry's pop hit covered with 1950s rockabilly styling and vintage instrumentation."
"Richard Cheese","People = Shit",2005,"Slipknot's metal anthem performed as smooth lounge jazz with crooner vocals."
"Vintage Trouble","Pelvis Pusher",2016,"Original blues rock with authentic 1960s soul influences and contemporary energy."
"Lake Street Dive","You Go Down Smooth",2014,"Original indie folk with vintage harmonies and sophisticated jazz influences."
"Casey Abrams","Fly Me to the Moon",2015,"Sinatra standard performed with contemporary R&B vocals and modern jazz arrangement."
"Swing'it","Shape of You",2017,"Ed Sheeran's pop hit transformed into 1940s swing with big band arrangement."
"Cristina Gatti","Toxic",2017,"Britney Spears' pop hit converted to sultry jazz standard with vintage styling."
"The Hot Club of Cowtown","Beaumont Rag",2010,"Traditional western swing fiddle tune with authentic instrumentation and arrangements."
"Caro Emerald","Liquid Lunch",2013,"Original vintage pop with 1940s influences and contemporary production techniques."
"Jive Aces","Puttin' on the Ritz",2010,"Irving Berlin classic performed by British swing revival band with authentic arrangements."
"The Brian Setzer Orchestra","Pennsylvania 6-5000",2000,"Glenn Miller classic performed with rockabilly-swing fusion and modern energy."
"Imelda May","Big Bad Handsome Man",2010,"Original rockabilly with vintage styling and contemporary rock production."
"Big Bad Voodoo Daddy","King of Swing",2000,"Original neo-swing tribute to Benny Goodman with authentic 1940s styling."
"The Cherry Poppin' Daddies","Saddest Thing I Know",1999,"Original swing revival ballad with vintage jazz influences and ska-punk energy."
"Squirrel Nut Zippers","Ghost of Stephen Foster",1998,"Original alternative swing with vintage jazz influences and dark humor."
"The Mighty Mighty Bosstones","Someday I Suppose",1993,"Original ska-punk with swing influences and brass section arrangements."
"Royal Crown Revue","Mugshot",2012,"Original swing revival with authentic vintage styling and contemporary attitude."
"Tape Five","Longitude 54-21",2011,"Original electro-swing with cinematic production and vintage travel aesthetics."
"The Atomic Fireballs","Drink Drank Drunk",2000,"Original swing revival with rockabilly influences and vintage horn section."
"Swing Cafe","Perfect",2018,"Ed Sheeran's pop ballad transformed into 1940s big band swing arrangement."
"Postmodern Jukebox","We Don't Talk Anymore",2017,"Charlie Puth's pop hit reimagined as 1960s girl group number."
"Wolfgang Lohr","Can't Feel My Face",2016,"The Weeknd's pop hit transformed into smooth jazz with vintage saxophone."
"The 8-Bit Big Band","Sweden",2019,"C418's Minecraft music arranged for jazz big band with electronic elements."
"Belleville","Sing Sing Sing",2017,"Benny Goodman classic performed with modern electro-swing production."
"Gunhild Carling","What a Wonderful World",2018,"Louis Armstrong classic with authentic jazz instrumentation and vintage styling."
"The Hot Sardines","Please Don't Talk About Me When I'm Gone",2016,"Sam H. Stept standard with authentic 1920s jazz arrangements."
"Robyn Adele Anderson","Stay",2017,"Rihanna's pop ballad transformed into 1950s torch song with vintage jazz arrangement."
"Puddles Pity Party","Hello",2016,"Adele's powerhouse ballad performed as melancholic vintage cabaret."
"Scott Bradlee","Can't Stop the Feeling",2016,"Justin Timberlake's pop anthem converted to ragtime piano with 1920s arrangement."
"Cissie Redgwick","Havana",2018,"Camila Cabello's Latin pop hit reimagined as sultry 1940s jazz standard."
"Haley Reinhart","Gimme Some Lovin'",2017,"Spencer Davis Group classic with contemporary R&B vocals and vintage production."
"The Correspondents","Alarm Call",2015,"Original electro-swing with vintage dance hall aesthetics and modern electronic beats."
"Chinese Man","The Phonographer",2015,"Original cinematic hip-hop blending jazz samples with contemporary production."
"Electro Deluxe","Play",2017,"Original funk-electronic fusion with vintage soul influences and modern arrangements."
"Dimie Cat","Moi Je Joue",2019,"Original French chanson with electro-swing production and vintage cabaret styling."
"Club des Belugas","It Don't Mean a Thing",2011,"Ellington classic with modern electronic production and vintage jazz samples."
"Grant Lazlo","Happy",2014,"Pharrell Williams' pop hit transformed into sophisticated big band jazz arrangement."
"Mario Jose","All of Me",2014,"John Legend's contemporary ballad converted to vintage jazz standard with crooner vocals."
"Lamuzgueuel","Gangnam Style",2012,"PSY's viral hit reimagined as 1920s vaudeville performance with Charleston rhythms."
"Proleter","Faidherbe Square",2016,"Original electro-swing with French cinema samples and contemporary electronic production."
"Good Co","What Makes You Beautiful",2016,"One Direction's pop hit transformed into retro doo-wop with vintage harmonies."
"Lyre Le Temps","24K Magic",2017,"Bruno Mars' funk-pop hit reimagined with French electro-swing production."
"Dirty Honkers","High Hopes",2019,"Panic! At The Disco's rock hit converted to vintage swing with big band arrangement."
"Alice Francis","Millionaire",2015,"Original composition with 1920s flapper styling and contemporary production."
"Kormac","More Money",2017,"Original track blending vintage jazz samples with contemporary hip-hop influenced beats."
"TipTop","Thank U, Next",2019,"Ariana Grande's pop hit reimagined as 1930s jazz standard."
"The Speakeasies' Swing Band!","Titanium",2015,"David Guetta's EDM hit transformed into authentic 1940s big band arrangement."
"Pink Martini","Que Sera Sera",2009,"Doris Day classic with sophisticated orchestral arrangement and vintage styling."
"Michael Bublé","L-O-V-E",2005,"Nat King Cole classic with modern big band production and crooner vocals."
"The Baseballs","Bleeding Love",2012,"Leona Lewis' pop ballad covered with 1950s rockabilly styling and vintage instruments."
"Richard Cheese","Chop Suey!",2005,"System of a Down's metal anthem performed as smooth lounge jazz."
"Vintage Trouble","Run Like the River",2018,"Original blues rock with authentic soul influences and contemporary production."
"Lake Street Dive","Rich Girl",2015,"Hall & Oates classic reimagined with indie folk instrumentation and vintage harmonies."
"Casey Abrams","Stormy Weather",2016,"Harold Arlen standard with contemporary R&B vocals and modern jazz arrangement."
"Swing'it","Havana",2018,"Camila Cabello's Latin pop hit transformed into 1940s swing with big band arrangement."
"Cristina Gatti","Rolling in the Deep",2018,"Adele's powerhouse ballad converted to sultry jazz standard with vintage styling."
"The Hot Club of Cowtown","Right or Wrong",2012,"Traditional western swing performed with authentic instrumentation and vintage arrangements."
"Caro Emerald","Coming Back as a Man",2015,"Original vintage pop with gender-bending lyrics and contemporary production."
"Jive Aces","Mack the Knife",2011,"Kurt Weill classic performed by British swing revival band with authentic arrangements."
