Artist,Title,Year,Description
"Scott Bradlee's Postmodern Jukebox","Last Friday Night",2017,"A lively swing cover of Katy Perry's party anthem, featuring Olivia Kuper Harris."
"Scott Bradlee's Postmodern Jukebox","Blurred Lines",2013,"A jazzy reinterpretation of Robin Thicke's hit, part of the 2013 mashup."
"Scott Bradlee's Postmodern Jukebox","Royals",2013,"A soulful, vintage cover of Lorde's minimalist pop hit, with Ashley Stroud."
"Scott Bradlee's Postmodern Jukebox","Shake It Off",2014,"A swing-style cover of Taylor Swift's pop anthem, featuring Ariana Savalas."
"Scott Bradlee's Postmodern Jukebox","Uptown Funk",2015,"A 1940s big band version of Bruno Mars' hit, with vintage brass arrangements."
"Scott Bradlee's Postmodern Jukebox","Hello",2016,"A torch song rendition of Adele's ballad, featuring Haley Reinhart's emotional vocals."
"Scott Bradlee's Postmodern Jukebox","Sorry",2016,"A jazzy, apologetic cover of Justin Bieber's hit, with smooth vocal delivery."
"Scott Bradlee's Postmodern Jukebox","Closer",2017,"A vintage lounge version of The Chainsmokers' EDM hit, featuring Casey Abrams."
"Scott Bradlee's Postmodern Jukebox","Shape of You",2017,"A Latin jazz interpretation of Ed Sheeran's pop hit, with tropical brass."
"Scott Bradlee's Postmodern Jukebox","Despacito",2017,"A mambo-style cover of Luis Fonsi's reggaeton hit, featuring Cristina Gatti."
"Scott Bradlee's Postmodern Jukebox","Perfect",2018,"A romantic ballad version of Ed Sheeran's love song, with vintage orchestration."
"Scott Bradlee's Postmodern Jukebox","God's Plan",2018,"A gospel-jazz cover of Drake's rap hit, featuring Jennie Lena."
"Scott Bradlee's Postmodern Jukebox","Havana",2018,"A vintage Cuban jazz version of Camila Cabello's hit, with authentic Latin percussion."
"Scott Bradlee's Postmodern Jukebox","Shallow",2019,"A jazz club rendition of Lady Gaga's ballad, featuring Morgan James."
"Scott Bradlee's Postmodern Jukebox","Old Town Road",2019,"A western swing take on Lil Nas X's country-rap hit, with banjo and jazz piano."
"Scott Bradlee's Postmodern Jukebox","Blinding Lights",2020,"A 1980s new wave cover of The Weeknd's synth-pop hit, featuring Kenton Chen."
"Scott Bradlee's Postmodern Jukebox","Watermelon Sugar",2020,"A tropical jazz version of Harry Styles' summer hit, with steel drum accents."
"Scott Bradlee's Postmodern Jukebox","Levitating",2021,"A disco-funk cover of Dua Lipa's dance hit, with vintage groove arrangements."
"Scott Bradlee's Postmodern Jukebox","drivers license",2021,"A melancholic jazz ballad version of Olivia Rodrigo's breakup song, featuring Robyn Adele Anderson."
"Scott Bradlee's Postmodern Jukebox","good 4 u",2021,"A punk-jazz fusion of Olivia Rodrigo's rock anthem, with brass section energy."
"Scott Bradlee's Postmodern Jukebox","Stay",2021,"A soulful R&B cover of The Kid LAROI's hit, featuring Vonzell Solomon."
"Scott Bradlee's Postmodern Jukebox","Industry Baby",2021,"A big band swing version of Lil Nas X's rap hit, with horn section prominence."
"Scott Bradlee's Postmodern Jukebox","Heat Waves",2021,"A tropical jazz interpretation of Glass Animals' indie hit, featuring smooth saxophone."
"Scott Bradlee's Postmodern Jukebox","Anti-Hero",2022,"A noir jazz cover of Taylor Swift's introspective hit, with dark lounge atmosphere."
"Scott Bradlee's Postmodern Jukebox","As It Was",2022,"A vintage pop cover of Harry Styles' nostalgic hit, featuring retro harmonies."
"Scott Bradlee's Postmodern Jukebox","About Damn Time",2022,"A funk-jazz version of Lizzo's empowerment anthem, with brass section power."
"Scott Bradlee's Postmodern Jukebox","Bad Habit",2022,"A bossa nova take on Steve Lacy's indie hit, featuring Brazilian guitar rhythms."
"Scott Bradlee's Postmodern Jukebox","Unholy",2022,"A gothic jazz cover of Sam Smith's dark pop hit, featuring dramatic orchestration."
"Scott Bradlee's Postmodern Jukebox","Flowers",2023,"A torch song version of Miley Cyrus' empowerment ballad, with vintage piano."
"Scott Bradlee's Postmodern Jukebox","Vampire",2023,"A haunting jazz ballad cover of Olivia Rodrigo's emotional hit, featuring Haley Reinhart."
"Scott Bradlee's Postmodern Jukebox","Cruel Summer",2019,"A vintage summer jazz version of Taylor Swift's hit, with beach club atmosphere."
"Scott Bradlee's Postmodern Jukebox","Sunflower",2018,"A folk-jazz cover of Post Malone's hit, featuring acoustic guitar and vintage vocals."
"Scott Bradlee's Postmodern Jukebox","Truth Hurts",2019,"A soul-jazz version of Lizzo's confidence anthem, with powerful brass backing."
"Scott Bradlee's Postmodern Jukebox","Circles",2019,"A lounge jazz cover of Post Malone's melodic hit, featuring smooth vocal delivery."
"Scott Bradlee's Postmodern Jukebox","Senorita",2019,"A Latin jazz duet version of Shawn Mendes' hit, featuring romantic harmonies."
"Scott Bradlee's Postmodern Jukebox","Don't Start Now",2019,"A disco-funk cover of Dua Lipa's dance hit, with vintage groove elements."
"Scott Bradlee's Postmodern Jukebox","Intentions",2020,"A R&B jazz version of Justin Bieber's hit, featuring smooth vocal arrangements."
"Scott Bradlee's Postmodern Jukebox","Savage",2020,"A swing-style cover of Megan Thee Stallion's rap hit, with big band energy."
"Scott Bradlee's Postmodern Jukebox","WAP",2020,"A cheeky jazz club version of Cardi B's controversial hit, with playful brass."
"Scott Bradlee's Postmodern Jukebox","Cardigan",2020,"A folk-jazz cover of Taylor Swift's introspective ballad, featuring acoustic elements."
"Scott Bradlee's Postmodern Jukebox","Peaches",2021,"A smooth R&B jazz version of Justin Bieber's hit, featuring silky vocals."
"Scott Bradlee's Postmodern Jukebox","Montero",2021,"A theatrical jazz cover of Lil Nas X's bold hit, with dramatic orchestration."
"Scott Bradlee's Postmodern Jukebox","Kiss Me More",2021,"A Latin jazz duet version of Doja Cat's hit, featuring tropical rhythms."
"Scott Bradlee's Postmodern Jukebox","Fancy Like",2021,"A country-jazz fusion of Walker Hayes' hit, with vintage instrumentation."
"Scott Bradlee's Postmodern Jukebox","Happier Than Ever",2021,"A moody jazz ballad version of Billie Eilish's emotional hit, featuring dramatic dynamics."
"Scott Bradlee's Postmodern Jukebox","Shivers",2021,"A romantic jazz cover of Ed Sheeran's love song, with vintage orchestration."
"Scott Bradlee's Postmodern Jukebox","Enemy",2021,"A noir jazz version of Imagine Dragons' dark hit, featuring haunting arrangements."
"Scott Bradlee's Postmodern Jukebox","Running Up That Hill",2022,"A gothic jazz cover of Kate Bush's classic, revived by Stranger Things popularity."
"Scott Bradlee's Postmodern Jukebox","Music for a Sushi Restaurant",2022,"A lounge jazz version of Harry Styles' quirky hit, with Asian-inspired elements."
"Scott Bradlee's Postmodern Jukebox","Numb Little Bug",2022,"A melancholic jazz ballad cover of Em Beihold's emotional hit, featuring soft piano."
"Scott Bradlee's Postmodern Jukebox","Break My Soul",2022,"A disco-jazz version of Beyoncé's dance hit, with vintage groove arrangements."
"Scott Bradlee's Postmodern Jukebox","I'm Good",2022,"A swing-style cover of David Guetta's EDM hit, featuring big band energy."
"Scott Bradlee's Postmodern Jukebox","Tití Me Preguntó",2022,"A Latin jazz version of Bad Bunny's reggaeton hit, with tropical brass."
"Scott Bradlee's Postmodern Jukebox","Love Nwantiti",2021,"A smooth Afro-jazz version of CKay's global hit, featuring African-inspired rhythms."
"Scott Bradlee's Postmodern Jukebox","Smooth Like Butter",2021,"A suave jazz cover of BTS' pop hit, featuring silky vocal arrangements."
"Scott Bradlee's Postmodern Jukebox","Dynamite",2020,"A vintage pop cover of BTS' disco-inspired hit, with retro energy."
"Scott Bradlee's Postmodern Jukebox","Therefore I Am",2020,"A noir jazz version of Billie Eilish's dark hit, featuring moody arrangements."
"Scott Bradlee's Postmodern Jukebox","Mood",2020,"A smooth R&B jazz cover of 24kGoldn's hit, featuring laid-back groove."
"Scott Bradlee's Postmodern Jukebox","Positions",2020,"A sultry jazz version of Ariana Grande's intimate hit, with lounge atmosphere."
"Scott Bradlee's Postmodern Jukebox","Willow",2020,"A folk-jazz cover of Taylor Swift's mystical ballad, featuring acoustic elements."
"Scott Bradlee's Postmodern Jukebox","Wonder",2020,"A romantic jazz ballad version of Shawn Mendes' love song, with vintage orchestration."
"Scott Bradlee's Postmodern Jukebox","Stupid Love",2020,"A disco-jazz cover of Lady Gaga's dance hit, with vintage groove elements."
"Scott Bradlee's Postmodern Jukebox","Say So",2020,"A swing-style version of Doja Cat's viral hit, featuring big band arrangements."
"Scott Bradlee's Postmodern Jukebox","Toosie Slide",2020,"A smooth jazz cover of Drake's dance hit, with laid-back groove."
"Scott Bradlee's Postmodern Jukebox","Yummy",2020,"A playful jazz version of Justin Bieber's hit, featuring quirky arrangements."
"Scott Bradlee's Postmodern Jukebox","The Box",2020,"A jazz club cover of Roddy Ricch's rap hit, with brass section prominence."
"Scott Bradlee's Postmodern Jukebox","Adore You",2019,"A romantic jazz ballad version of Harry Styles' love song, with vintage piano."
"Scott Bradlee's Postmodern Jukebox","Memories",2019,"A nostalgic jazz cover of Maroon 5's emotional hit, featuring heartfelt vocals."
"Scott Bradlee's Postmodern Jukebox","Lose You to Love Me",2019,"A torch song version of Selena Gomez's breakup ballad, with dramatic orchestration."
"Scott Bradlee's Postmodern Jukebox","10,000 Hours",2019,"A country-jazz duet version of Dan + Shay's hit, featuring romantic harmonies."
"Scott Bradlee's Postmodern Jukebox","Señorita",2019,"A Latin jazz version of Camila Cabello's hit, featuring passionate vocals."
"Scott Bradlee's Postmodern Jukebox","Bad Guy",2019,"A noir jazz cover of Billie Eilish's dark hit, featuring haunting arrangements."
"Scott Bradlee's Postmodern Jukebox","7 rings",2019,"A swing-style version of Ariana Grande's braggadocious hit, with big band energy."
"Scott Bradlee's Postmodern Jukebox","Without Me",2018,"A melancholic jazz ballad cover of Halsey's emotional hit, featuring soft piano."
"Scott Bradlee's Postmodern Jukebox","Thank U, Next",2018,"A grateful jazz version of Ariana Grande's empowerment anthem, with vintage arrangements."
"Scott Bradlee's Postmodern Jukebox","High Hopes",2018,"A swing-style cover of Panic! At The Disco's optimistic hit, featuring big band energy."
"Scott Bradlee's Postmodern Jukebox","Lucid Dreams",2018,"A dreamy jazz ballad version of Juice WRLD's emotional hit, featuring ethereal vocals."
"Scott Bradlee's Postmodern Jukebox","Girls Like You",2018,"A smooth R&B jazz cover of Maroon 5's hit, featuring silky vocal arrangements."
"Scott Bradlee's Postmodern Jukebox","In My Feelings",2018,"A playful jazz version of Drake's viral hit, with quirky arrangements."
"Scott Bradlee's Postmodern Jukebox","Better Now",2018,"A melancholic jazz ballad cover of Post Malone's emotional hit, featuring heartfelt vocals."
"Scott Bradlee's Postmodern Jukebox","Psycho",2018,"A dark jazz version of Post Malone's hit, featuring haunting arrangements."
"Scott Bradlee's Postmodern Jukebox","Lovely",2018,"A haunting jazz duet version of Billie Eilish's emotional hit, featuring dramatic dynamics."
"Scott Bradlee's Postmodern Jukebox","Eastside",2018,"A nostalgic jazz cover of Benny Blanco's hit, featuring vintage arrangements."
"Scott Bradlee's Postmodern Jukebox","Rockstar",2017,"A glamorous jazz version of Post Malone's hit, featuring theatrical arrangements."
"Scott Bradlee's Postmodern Jukebox","Bodak Yellow",2017,"A sassy jazz cover of Cardi B's breakout hit, featuring bold brass arrangements."
"Scott Bradlee's Postmodern Jukebox","Humble",2017,"A smooth jazz version of Kendrick Lamar's hit, with laid-back groove."
"Scott Bradlee's Postmodern Jukebox","Mask Off",2017,"A jazzy cover of Future's trap hit, featuring saxophone prominence."
"Scott Bradlee's Postmodern Jukebox","Congratulations",2017,"A celebratory jazz version of Post Malone's hit, featuring upbeat arrangements."
"Scott Bradlee's Postmodern Jukebox","XO Tour Llif3",2017,"A melancholic jazz ballad cover of Lil Uzi Vert's emotional hit, featuring soft piano."
"Scott Bradlee's Postmodern Jukebox","Redbone",2016,"A smooth soul-jazz version of Childish Gambino's hit, featuring silky vocals."
"Scott Bradlee's Postmodern Jukebox","24K Magic",2016,"A funk-jazz cover of Bruno Mars' disco hit, with vintage groove elements."
"Scott Bradlee's Postmodern Jukebox","Starboy",2016,"A glamorous jazz version of The Weeknd's hit, featuring theatrical arrangements."
"Scott Bradlee's Postmodern Jukebox","Cheap Thrills",2016,"A swing-style cover of Sia's dance hit, featuring big band energy."
"Scott Bradlee's Postmodern Jukebox","One Dance",2016,"A tropical jazz version of Drake's dancehall hit, with Caribbean rhythms."
"Scott Bradlee's Postmodern Jukebox","Panda",2016,"A playful jazz cover of Desiigner's rap hit, featuring quirky arrangements."
"Scott Bradlee's Postmodern Jukebox","Work",2016,"A reggae-jazz fusion of Rihanna's hit, with tropical instrumentation."
"Scott Bradlee's Postmodern Jukebox","I Took a Pill in Ibiza",2016,"A melancholic jazz ballad cover of Mike Posner's hit, featuring emotional vocals."
"Scott Bradlee's Postmodern Jukebox","Stressed Out",2016,"A nostalgic jazz version of Twenty One Pilots' hit, with vintage arrangements."
"Scott Bradlee's Postmodern Jukebox","Can't Feel My Face",2015,"A disco-jazz cover of The Weeknd's hit, with vintage groove elements."
"Scott Bradlee's Postmodern Jukebox","What Do You Mean?",2015,"A smooth jazz version of Justin Bieber's hit, featuring laid-back arrangements."
"Scott Bradlee's Postmodern Jukebox","Hotline Bling",2015,"A late-night jazz cover of Drake's hit, with lounge atmosphere."
"Scott Bradlee's Postmodern Jukebox","Fight Song",2015,"An empowering jazz version of Rachel Platten's anthem, with uplifting arrangements."
"Scott Bradlee's Postmodern Jukebox","Cheerleader",2015,"A tropical jazz version of OMI's hit, with Caribbean rhythms."
"Scott Bradlee's Postmodern Jukebox","See You Again",2015,"A nostalgic jazz ballad cover of Wiz Khalifa's tribute, featuring emotional vocals."
"Scott Bradlee's Postmodern Jukebox","Shut Up and Dance",2015,"A swing-style cover of Walk The Moon's hit, featuring big band energy."
"Scott Bradlee's Postmodern Jukebox","Thinking Out Loud",2014,"A romantic jazz ballad version of Ed Sheeran's love song, with vintage piano."
"Scott Bradlee's Postmodern Jukebox","Fancy",2014,"A glamorous jazz cover of Iggy Azalea's hit, featuring theatrical arrangements."
"Scott Bradlee's Postmodern Jukebox","Problem",2014,"A playful jazz version of Ariana Grande's hit, with quirky arrangements."
"Scott Bradlee's Postmodern Jukebox","Stay With Me",2014,"A soulful jazz ballad cover of Sam Smith's emotional hit, featuring heartfelt vocals."
"Scott Bradlee's Postmodern Jukebox","Anaconda",2014,"A cheeky jazz club version of Nicki Minaj's controversial hit, with playful brass."
"Scott Bradlee's Postmodern Jukebox","Shake It Off",2014,"A swing-style cover of Taylor Swift's pop anthem, featuring big band arrangements."
"Scott Bradlee's Postmodern Jukebox","Blank Space",2014,"A dramatic jazz version of Taylor Swift's hit, with noir atmosphere."
"Scott Bradlee's Postmodern Jukebox","Bang Bang",2014,"A powerful jazz cover of Jessie J's hit, featuring bold arrangements."
"Scott Bradlee's Postmodern Jukebox","Happy",2013,"A swing-style version of Pharrell's feel-good hit, with vintage energy."
"Scott Bradlee's Postmodern Jukebox","Get Lucky",2013,"A disco-jazz cover of Daft Punk's hit, with vintage groove elements."
"Scott Bradlee's Postmodern Jukebox","Blurred Lines",2013,"A smooth jazz version of Robin Thicke's controversial hit, with laid-back groove."
"Scott Bradlee's Postmodern Jukebox","Wrecking Ball",2013,"A torch song version of Miley Cyrus' emotional ballad, with dramatic orchestration."
"Scott Bradlee's Postmodern Jukebox","Roar",2013,"An empowering jazz version of Katy Perry's anthem, with uplifting arrangements."
"Scott Bradlee's Postmodern Jukebox","Radioactive",2013,"A dramatic jazz cover of Imagine Dragons' hit, with dark arrangements."
"Scott Bradlee's Postmodern Jukebox","Counting Stars",2013,"A folk-jazz version of OneRepublic's hit, featuring acoustic elements."
"Scott Bradlee's Postmodern Jukebox","Somebody That I Used to Know",2012,"A melancholic jazz ballad cover of Gotye's hit, featuring emotional vocals."
"Scott Bradlee's Postmodern Jukebox","Call Me Maybe",2012,"A playful swing version of Carly Rae Jepsen's hit, with retro charm."
"Scott Bradlee's Postmodern Jukebox","Gangnam Style",2012,"A big band swing cover of PSY's viral hit, with Korean-inspired arrangements."
"Scott Bradlee's Postmodern Jukebox","Payphone",2012,"A nostalgic jazz version of Maroon 5's hit, with vintage telephone booth atmosphere."
"Scott Bradlee's Postmodern Jukebox","Wide Awake",2012,"A dreamy jazz ballad cover of Katy Perry's introspective hit, featuring ethereal vocals."
"Scott Bradlee's Postmodern Jukebox","Stronger",2012,"An empowering jazz version of Kelly Clarkson's anthem, with uplifting arrangements."
"Scott Bradlee's Postmodern Jukebox","We Are Young",2012,"A nostalgic jazz cover of fun.'s hit, with vintage party atmosphere."
"Scott Bradlee's Postmodern Jukebox","Rolling in the Deep",2011,"A powerful soul-jazz version of Adele's hit, featuring bold arrangements."
"Scott Bradlee's Postmodern Jukebox","Party Rock Anthem",2011,"A swing-style cover of LMFAO's dance hit, with big band energy."
"Scott Bradlee's Postmodern Jukebox","Super Bass",2011,"A playful jazz version of Nicki Minaj's hit, with quirky arrangements."
"Scott Bradlee's Postmodern Jukebox","Someone Like You",2011,"A heart-wrenching jazz ballad cover of Adele's emotional hit, featuring soft piano."
"Scott Bradlee's Postmodern Jukebox","Moves Like Jagger",2011,"A swagger-filled jazz version of Maroon 5's hit, with confident arrangements."
"Scott Bradlee's Postmodern Jukebox","Pumped Up Kicks",2011,"A dark jazz cover of Foster the People's hit, with haunting arrangements."
"Scott Bradlee's Postmodern Jukebox","Firework",2010,"An explosive jazz version of Katy Perry's empowerment anthem, with dramatic orchestration."
"Scott Bradlee's Postmodern Jukebox","Tik Tok",2010,"A morning jazz cover of Ke$ha's party hit, with vintage hangover atmosphere."
"Scott Bradlee's Postmodern Jukebox","California Gurls",2010,"A sunny jazz version of Katy Perry's summer hit, with beach club vibes."
"Scott Bradlee's Postmodern Jukebox","Love the Way You Lie",2010,"A dramatic jazz duet version of Eminem's hit, featuring intense emotions."
"Scott Bradlee's Postmodern Jukebox","Teenage Dream",2010,"A nostalgic jazz cover of Katy Perry's hit, with vintage teen romance atmosphere."
"Scott Bradlee's Postmodern Jukebox","OMG",2010,"A playful jazz version of Usher's hit, with quirky arrangements."
"Scott Bradlee's Postmodern Jukebox","Nothin' on You",2010,"A smooth jazz cover of B.o.B's hit, featuring silky vocal arrangements."
"Scott Bradlee's Postmodern Jukebox","Telephone",2010,"A vintage phone booth jazz version of Lady Gaga's hit, with retro communication theme."
"Scott Bradlee's Postmodern Jukebox","Imma Be",2010,"A confident jazz cover of Black Eyed Peas' hit, with bold arrangements."
"Scott Bradlee's Postmodern Jukebox","Need You Now",2010,"A late-night jazz duet version of Lady Antebellum's hit, with lounge atmosphere."
"Scott Bradlee's Postmodern Jukebox","Rude Boy",2010,"A Caribbean jazz version of Rihanna's hit, with tropical rhythms."
"Scott Bradlee's Postmodern Jukebox","Baby",2010,"A sweet jazz cover of Justin Bieber's hit, featuring innocent charm."
"Scott Bradlee's Postmodern Jukebox","Poker Face",2009,"A gambling jazz version of Lady Gaga's hit, with casino atmosphere."
"Scott Bradlee's Postmodern Jukebox","Just Dance",2009,"A swing-style cover of Lady Gaga's debut hit, with big band energy."
"Scott Bradlee's Postmodern Jukebox","I Gotta Feeling",2009,"A celebratory jazz version of Black Eyed Peas' hit, with party atmosphere."
"Scott Bradlee's Postmodern Jukebox","Empire State of Mind",2009,"A New York jazz tribute version of Jay-Z's hit, with urban sophistication."
"Scott Bradlee's Postmodern Jukebox","Down",2009,"A laid-back jazz cover of Jay Sean's hit, with smooth groove."
"Scott Bradlee's Postmodern Jukebox","My Life Would Suck Without You",2009,"A romantic jazz ballad version of Kelly Clarkson's hit, with love-struck atmosphere."
"Scott Bradlee's Postmodern Jukebox","Right Round",2009,"A spinning jazz cover of Flo Rida's hit, with dizzy arrangements."
"Scott Bradlee's Postmodern Jukebox","Boom Boom Pow",2009,"A futuristic jazz version of Black Eyed Peas' hit, with space-age arrangements."
"Scott Bradlee's Postmodern Jukebox","Single Ladies",2008,"An empowering jazz version of Beyoncé's anthem, with independent woman attitude."
"Scott Bradlee's Postmodern Jukebox","I Kissed a Girl",2008,"A cheeky jazz club version of Katy Perry's controversial hit, with playful arrangements."
"Scott Bradlee's Postmodern Jukebox","Viva La Vida",2008,"A regal jazz cover of Coldplay's hit, with royal orchestra arrangements."
"Scott Bradlee's Postmodern Jukebox","Disturbia",2008,"A dark jazz version of Rihanna's hit, with haunting arrangements."
"Scott Bradlee's Postmodern Jukebox","Love Story",2008,"A fairytale jazz ballad cover of Taylor Swift's hit, with romantic orchestration."
"Scott Bradlee's Postmodern Jukebox","So What",2008,"A defiant jazz version of P!nk's hit, with rebellious attitude."
"Scott Bradlee's Postmodern Jukebox","Heartless",2008,"A cold jazz cover of Kanye West's hit, with icy arrangements."
"Scott Bradlee's Postmodern Jukebox","Live Your Life",2008,"A philosophical jazz version of T.I.'s hit, with life-affirming arrangements."
"Scott Bradlee's Postmodern Jukebox","Whatever You Like",2008,"A luxurious jazz cover of T.I.'s hit, with opulent arrangements."
"Scott Bradlee's Postmodern Jukebox","I'm Yours",2008,"A romantic jazz ballad version of Jason Mraz's hit, with intimate atmosphere."
"Scott Bradlee's Postmodern Jukebox","Lollipop",2008,"A sweet jazz cover of Lil Wayne's hit, with candy-shop arrangements."
"Scott Bradlee's Postmodern Jukebox","Low",2008,"A underground jazz version of Flo Rida's hit, with basement club atmosphere."
"Scott Bradlee's Postmodern Jukebox","No Air",2008,"A breathless jazz duet version of Jordin Sparks' hit, with suffocating romance."
"Scott Bradlee's Postmodern Jukebox","Bleeding Love",2008,"A passionate jazz ballad cover of Leona Lewis' hit, with emotional intensity."
"Scott Bradlee's Postmodern Jukebox","Apologize",2007,"A regretful jazz version of OneRepublic's hit, with sorry atmosphere."
"Scott Bradlee's Postmodern Jukebox","Umbrella",2007,"A rainy day jazz cover of Rihanna's hit, with stormy arrangements."
"Scott Bradlee's Postmodern Jukebox","Hey There Delilah",2007,"A sweet jazz serenade version of Plain White T's hit, with romantic guitar."
"Scott Bradlee's Postmodern Jukebox","Stronger",2007,"A resilient jazz version of Kanye West's hit, with empowering arrangements."
"Scott Bradlee's Postmodern Jukebox","Makes Me Wonder",2007,"A curious jazz cover of Maroon 5's hit, with questioning atmosphere."
"Scott Bradlee's Postmodern Jukebox","Buy U a Drank",2007,"A generous jazz version of T-Pain's hit, with bar-room hospitality."
"Scott Bradlee's Postmodern Jukebox","Big Girls Don't Cry",2007,"An emotional jazz ballad cover of Fergie's hit, with tear-jerking arrangements."
"Scott Bradlee's Postmodern Jukebox","The Way I Are",2007,"A self-accepting jazz version of Timbaland's hit, with confident arrangements."
"Scott Bradlee's Postmodern Jukebox","Girlfriend",2007,"A possessive jazz cover of Avril Lavigne's hit, with jealous energy."
"Scott Bradlee's Postmodern Jukebox","What Goes Around",2007,"A karmic jazz version of Justin Timberlake's hit, with justice-themed arrangements."
"Scott Bradlee's Postmodern Jukebox","Irreplaceable",2006,"A self-worth jazz anthem version of Beyoncé's hit, with empowering arrangements."
"Scott Bradlee's Postmodern Jukebox","Promiscuous",2006,"A flirtatious jazz cover of Nelly Furtado's hit, with seductive arrangements."
"Scott Bradlee's Postmodern Jukebox","SexyBack",2006,"A sultry jazz version of Justin Timberlake's hit, with smooth sensuality."
"Scott Bradlee's Postmodern Jukebox","Crazy",2006,"A wild jazz cover of Gnarls Barkley's hit, with eccentric arrangements."
"Scott Bradlee's Postmodern Jukebox","Hips Don't Lie",2006,"A truthful Latin jazz version of Shakira's hit, with authentic movement."
"Scott Bradlee's Postmodern Jukebox","Temperature",2006,"A hot jazz cover of Sean Paul's hit, with tropical heat."
