Artist,Title,Year,Description
"Sex Judas, Ricky","The Book of Dreams (After Sex Remixes, Vol. 2)",2022,"Cosmic, sensual Nu Disco track."
"Kelly Reverb, Chad Lemans","Speechless",2024,"Modern Nu Disco with a sleek production."
"Block & Crown","Nu Disco Hits 13",2024,"Compilation track with funky Nu Disco vibes."
"Jackers Revenge","Ibiza Summer Hits 14",2024,"Summery Nu Disco with a Balearic feel."
"FunkSoul Brothers","Funky House Annual 2025",2025,"High-energy Nu Disco with funky elements."
"Matte","Closing Essentials 2025: Nu Disco / Disco",2025,"Modern Nu Disco with a polished sound."
"DJ Effendi","Funky House Annual 2025",2025,"Funky, dancefloor-ready Nu Disco track."
"Cheesecake Boys","Funky House Annual 2025",2025,"Upbeat Nu Disco with retro influences."
"Babes on the Run","Funky House Annual 2025",2025,"Energetic Nu Disco with a modern edge."
"Maxim & Matte","Funky House Annual 2025",2025,"Funky, vibrant Nu Disco compilation track."
"Timmy Tom","Funky House Annual 2025",2025,"High-energy Nu Disco with a retro vibe."
"Mike Newman","Funky House Annual 2025",2025,"Soulful Nu Disco with classic disco roots."
"Ghostbusterz","Nu Disco Hits 13",2024,"Funky Nu Disco with a retro twist."
"Disco Revenge","Nu Disco Hits 13",2024,"Upbeat Nu Disco with dancefloor appeal."
"Dario Nunez","Nu Disco Hits 13",2024,"Energetic Nu Disco with a modern sound."
"Realcyclers","Funky House Annual 2025",2025,"Funky, modern Nu Disco track."
"Betty Love","Funky House Annual 2025",2025,"Soulful Nu Disco with a retro vibe."
"Westray","Funky House Annual 2025",2025,"Upbeat Nu Disco with a modern edge."
"Ken@Work","Up When I’m Down",2025,"Uplifting Nu Disco with funky grooves."
"Purple Disco Machine","Paradise",2024,"Chart-topping Nu Disco with soulful vibes."
"The Shapeshifters, Kimberly Davis","Love’s Been Waiting",2022,"Soulful Nu Disco with vibrant vocals."
"Jamiroquai","Little L",2001,"Early Nu Disco with funk and pop elements."
"Sophie Ellis-Bextor","Murder on the Dancefloor",2001,"Nu Disco pop hit with a retro groove."
"Madonna","Hung Up",2005,"Nu Disco-inspired pop anthem with ABBA sample."
"Freemasons","Love on My Mind",2005,"Classic Nu Disco with a house influence."
"Metro Area","Miura",2002,"Influential early Nu Disco track with a cosmic vibe."
"Fayer","Underworld (Tuff City Kids Remix)",2010,"Dark, driving Nu Disco remix."
"Calvin Harris","Funk Wav Bounces Vol. 1 (Slide)",2017,"Nu Disco with a modern funk twist."
"Taylor Swift","Style",2014,"Pop track with strong Nu Disco influences."
"Roosevelt","Montreal",2016,"Melodic Nu Disco with indie vibes."
"The Magician","Sunlight",2014,"Uplifting Nu Disco with summery energy."
"Kungs","This Girl",2016,"Nu Disco hit with a funky, vocal-driven groove."
"Dabeull","You & I",2019,"Smooth, soulful Nu Disco with retro synths."
"Yung Bae","Bad Boy",2018,"Funky Nu Disco with a modern pop edge."
"Chromeo","Fancy Footwork",2007,"Classic Nu Disco with funky rhythms."
"Purple Disco Machine","Hypnotized",2020,"Soulful Nu Disco with chart-topping appeal."
"Róisín Murphy","Simulation",2012,"Critically acclaimed Nu Disco with a cosmic vibe."
"Kylie Minogue","Magic",2020,"Elegant Nu Disco from her Disco album."
"Metronomy","Salt Carmel Ice Cream",2019,"Quirky, indie-infused Nu Disco track."
"Hercules & Love Affair","Do You Feel The Same?",2014,"Soulful Nu Disco with a house edge."
"The Shapeshifters","Lola’s Theme",2004,"Classic Nu Disco track with uplifting vocals and funky groove."
"Justice","D.A.N.C.E.",2007,"Electro-infused Nu Disco hit with a retro disco vibe."
"Hot Chip","Ready for the Floor",2008,"Indie-dance crossover with Nu Disco elements."
"Breakbot","Make You Mine",2012,"Smooth, funky Nu Disco with romantic vocals."
"Yung Bae","Disco Body Parts",2018,"Upbeat, modern Nu Disco with a playful vibe."
"Purple Disco Machine","Dished (Male Stripper)",2018,"Funky Nu Disco hit with a bold, dancefloor energy."
"Calvin Harris","Feel So Close",2011,"Nu Disco-inspired pop anthem with uplifting synths."
"Roosevelt","Fever",2016,"Melodic Nu Disco with a summery, indie vibe."
"The Magician","Tied Up",2017,"Smooth Nu Disco with a catchy, vocal-driven groove."
"Kungs","Never Going Home",2021,"Energetic Nu Disco with a modern festival sound."
"Saint Tropez Caps","Stayin’ Alive (Nu Disco Mix)",2022,"Modern Nu Disco take on the Bee Gees classic."
"Block & Crown","Boogie Nights",2022,"Funky Nu Disco with a retro disco throwback."
"Ghostbusterz","Le Freak",2022,"Nu Disco re-edit of the Chic classic."
"Jackers Revenge","September",2022,"Upbeat Nu Disco cover of Earth, Wind & Fire’s hit."
"Disco Revenge","Celebration",2022,"Funky Nu Disco remake of Kool & The Gang’s anthem."
"Crazibiza","Fresh",2019,"High-energy Nu Disco with a modern house twist."
"House of Prayers","Disco Stepper",2023,"Rhythmic Nu Disco with a classic disco beat."
"DJ Effendi","Boogie Wonderland",2023,"Nu Disco cover of Earth, Wind & Fire’s classic."
"FunkSoul Brothers","Y.M.C.A.",2023,"Modern Nu Disco take on the Village People hit."
"Cheesecake Boys","Funky Stuff",2023,"Energetic Nu Disco with a funky, retro vibe."
"Maxim & Matte","Disco Inferno",2023,"Nu Disco re-edit of The Trammps’ classic."
"Babes on the Run","Shake Your Groove Thing",2023,"Upbeat Nu Disco cover of Peaches & Herb’s hit."
"Timmy Tom","Got to Be Real",2023,"Soulful Nu Disco remake of Cheryl Lynn’s classic."
"Mike Newman","Ring My Bell",2023,"Funky Nu Disco cover of Anita Ward’s hit."
"Betty Love","Boogie Oogie Oogie",2023,"Nu Disco take on A Taste of Honey’s classic."
"Westray","He’s the Greatest Dancer",2023,"Nu Disco re-edit of Sister Sledge’s hit."
"Hotmood","Funky Paradise",2022,"Laid-back Nu Disco with a tropical vibe."
"Ken@Work","Disco Dreams",2022,"Smooth, soulful Nu Disco track."
"Discotron","Groove Is in the Heart",2022,"Nu Disco cover of Deee-Lite’s iconic hit."
"HP Vince","Funky Town",2022,"Modern Nu Disco take on Lipps Inc.’s classic."
"Audio Jacker","We Are Family",2022,"Nu Disco re-edit of Sister Sledge’s anthem."
"Serge Funk","Can’t Stop the Feeling",2022,"Funky Nu Disco with a modern pop edge."
"Paul Parsons","Love Machine",2022,"Nu Disco cover of The Miracles’ classic."
"Vinny Terranova","Car Wash",2022,"Upbeat Nu Disco remake of Rose Royce’s hit."
"Soulchaser","Ain’t No Stoppin’ Us Now",2022,"Soulful Nu Disco cover of McFadden & Whitehead."
"Jack Matter","Brick House",2022,"Funky Nu Disco take on The Commodores’ classic."
"D.P.V.","Disco Nights",2022,"Smooth, retro-inspired Nu Disco track."
"Micky More & Andy Tee","The Nightlife",2022,"Soulful Nu Disco with a classic disco vibe."
"Daisuke Miyamoto","Groove On",2022,"Funky Nu Disco with a Japanese twist."
"Chemars","Boogie Fever",2022,"Energetic Nu Disco with a retro groove."
"Corrado Alunni","Soul Power",2022,"Soulful Nu Disco with a funky bassline."
"Rick Marshall","Dancefloor Dreams",2022,"Upbeat Nu Disco with a modern edge."
"Alexny","Funky Rhythm",2022,"Funky, dancefloor-ready Nu Disco track."
"Ezirk","Disco Vibes",2022,"Smooth Nu Disco with a retro synth sound."
"Charly Angelz","Groove Machine",2022,"High-energy Nu Disco with a funky beat."
"Chocolate Dice","Funky Love",2022,"Soulful Nu Disco with a romantic vibe."
"GooDisco","Night Moves",2022,"Atmospheric Nu Disco with a nocturnal feel."
"DJ Popinjay","Disco Heat",2022,"Energetic Nu Disco with a classic disco pulse."
"Paco Caniza","Funky Escape",2022,"Upbeat Nu Disco with a modern twist."
"Yuksek","Dance’O’Drome",2019,"Cosmic Nu Disco with a retro-futuristic vibe."
"Purple Disco Machine","In My Arms",2020,"Soulful Nu Disco with a funky, vocal-driven groove."
"The Shapeshifters","Finally Ready",2020,"Uplifting Nu Disco with powerful vocals."
"Chromeo","Clorox Wipe",2020,"Quirky, funky Nu Disco with a modern edge."
"Breakbot","Be Mine Tonight",2020,"Romantic Nu Disco with a smooth, retro sound."
"Roosevelt","Echoes",2021,"Melodic Nu Disco with an indie-dance vibe."
"Kungs","Lipstick",2021,"Catchy Nu Disco with a pop-infused groove."
"The Magician","Disco Romance",2018,"Smooth, romantic Nu Disco track."
"Dabeull","DX7",2019,"Synth-heavy Nu Disco with a retro 80s vibe."
"Yung Bae","Must Be Love",2019,"Funky Nu Disco with a summery feel."
"Calvin Harris","Potion",2022,"Nu Disco-inspired track with a modern pop edge."
"Jamiroquai","Cloud 9",2017,"Funky Nu Disco with a soulful groove."
"Sophie Ellis-Bextor","Crying at the Discotheque",2020,"Nu Disco cover of Alcazar’s hit with a retro vibe."
"Madonna","Into the Groove (Remix)",2022,"Nu Disco remix of the 80s classic."
"Freemasons","When You Touch Me",2008,"Classic Nu Disco with a house-infused energy."
"Metro Area","Caught Up",2002,"Early Nu Disco with a cosmic, funky vibe."
"Fred Everything","Mercyless",2010,"Smooth Nu Disco with a deep house influence."
"Todd Terje","Delorean Dynamite",2014,"Cosmic Nu Disco with a driving synth groove."
"Aeroplane","Love on Hold",2017,"Melodic Nu Disco with a soulful edge."
"Classixx","All You’re Waiting For",2013,"Upbeat Nu Disco with a summery vibe."
"Midnight Magic","Drop Me a Line",2011,"Funky Nu Disco with a cosmic, vocal-driven sound."
"Crazy P","Like a Fool",2015,"Soulful Nu Disco with a melancholic groove."
"Flight Facilities","Foreign Language",2011,"Smooth Nu Disco with a Balearic vibe."
"Hercules & Love Affair","My House",2011,"Soulful Nu Disco with a house-inspired beat."
"Lindstrøm","Closing Shot",2016,"Cosmic Nu Disco with a hypnotic rhythm."
"Gigamesh","History",2012,"Funky Nu Disco with a modern pop edge."
"Le Knight Club","Hysteria",2002,"Early Nu Disco with a French house influence."
"Róisín Murphy","Narcissus",2019,"Glamorous Nu Disco with a dramatic flair."
"Kylie Minogue","Padam Padam",2023,"Modern Nu Disco with a bold, dancefloor energy."
"Metronomy","Night Owl",2016,"Indie-infused Nu Disco with a nocturnal vibe."
"Justice","Safe and Sound",2016,"Electro-Nu Disco with a funky, retro vibe."
"Hot Chip","Huarache Lights",2015,"Indie-dance Nu Disco with a modern edge."
"Breakbot","My Toy",2016,"Funky Nu Disco with a playful, retro sound."
"Yung Bae","Selfish High Heels",2017,"Upbeat Nu Disco with a funky, summery vibe."
"Purple Disco Machine","Devil in Me",2017,"Soulful Nu Disco with a funky groove."
"The Shapeshifters","Life Is a Dancefloor",2019,"Uplifting Nu Disco with a classic disco vibe."
"Chromeo","Over Your Shoulder",2014,"Funky Nu Disco with a smooth, retro sound."
"Roosevelt","Colours",2013,"Melodic Nu Disco with an indie-dance vibe."
"Kungs","Clap Your Hands",2022,"Energetic Nu Disco with a festival-ready groove."
"The Magician","Ready to Love",2019,"Smooth Nu Disco with a romantic, danceable vibe."
"Dabeull","Day & Night",2019,"Soulful Nu Disco with a retro synth sound."
"Yuksek","Gorgeous",2011,"Funky Nu Disco with a vibrant, retro vibe."
"Calvin Harris","Acceptable in the 80s",2007,"Early Nu Disco with a retro synth-pop edge."
"Jamiroquai","Space Cowboy (Remix)",2006,"Nu Disco remix of the funk classic."
"Sophie Ellis-Bextor","Groovejet (If This Ain’t Love) (Remix)",2020,"Nu Disco remix of the Spiller classic."
"Madonna","Lucky Star (Remix)",2022,"Nu Disco re-edit of the 80s pop hit."
"Freemasons","Uninvited",2007,"Classic Nu Disco with a soulful, house vibe."
"Metro Area","Dance Reaction",2002,"Early Nu Disco with a funky, cosmic groove."
"Lemaitre","Closer",2013,"Norwegian Nu Disco with electronic elements and euphoric drops."
"Grum","Heartbeats",2011,"Uplifting Nu Disco with emotional melodies and driving percussion."
"Disclosure","Latch",2012,"UK garage-influenced Nu Disco with soulful vocals and deep house elements."
"Modjo","Lady (Hear Me Tonight)",2000,"French house classic with disco samples and infectious groove."
"Jamiroquai","Canned Heat",1999,"Funk-influenced nu-disco with brass sections and energetic groove."
